date,dte,atm,expiry,entry_time,spot_move,level,sl,pnl,rupees,outcome,control_1230
2025-11-24,1,26150,2025-11-25,12:30,0.247,157.45,154.3,-3.15,-236.0,SL,0.0
2025-11-25,0,26000,2025-11-25,14:40,0.142,67.9,50.45,47.0,3525.0,EOD,0.0
2025-11-27,5,26250,2025-12-02,13:15,0.099,233.35,226.0,-7.35,-551.0,SL,0.0
2025-12-01,1,26300,2025-12-02,12:30,0.526,166.0,164.55,-1.45,-109.0,SL,-5.9
2025-12-02,0,26100,2025-12-02,14:55,0.114,88.65,78.05,-10.6,-795.0,SL,0.0
2025-12-04,5,26000,2025-12-09,15:00,0.186,217.15,213.0,-4.15,-311.0,SL,-0.8
2025-12-08,1,26150,2025-12-09,12:30,0.542,148.8,143.25,-5.55,-416.0,SL,-3.05
2025-12-09,0,25900,2025-12-09,14:25,0.123,84.7,69.45,-15.25,-1144.0,SL,0.0
2025-12-10,6,25850,2025-12-16,12:35,0.226,263.75,259.15,-4.6,-345.0,SL,-2.45
2025-12-11,19,25800,2025-12-30,12:30,0.522,495.6,486.75,-8.85,-664.0,SL,0.0
2025-12-12,18,26000,2025-12-30,12:30,0.149,426.05,423.7,-2.35,-176.0,SL,-2.3
2025-12-15,15,25950,2025-12-30,12:30,0.246,415.15,411.05,-4.1,-308.0,SL,-0.8
2025-12-18,12,25750,2025-12-30,12:30,0.446,375.65,373.4,-2.25,-169.0,SL,-1.8
2025-12-19,11,25900,2025-12-30,13:35,0.102,309.0,306.9,3.7,278.0,EOD,-2.25
2025-12-22,8,26050,2025-12-30,13:30,0.336,295.7,294.35,-1.35,-101.0,SL,0.0
2025-12-26,4,26100,2025-12-30,12:35,0.247,139.95,135.8,-4.15,-311.0,SL,-4.15
2025-12-29,1,26050,2025-12-30,12:30,0.361,116.7,114.35,-2.35,-176.0,SL,9.25
2025-12-30,0,25950,2025-12-30,13:05,0.238,70.85,66.9,-3.95,-296.0,SL,-4.1
2025-12-31,6,26000,2026-01-06,12:30,0.456,231.05,229.55,25.15,1886.0,EOD,19.45
2026-01-02,4,26150,2026-01-06,12:30,0.572,204.8,203.1,-1.7,-128.0,SL,-7.9
2026-01-05,1,26350,2026-01-06,13:15,0.01,109.85,106.2,33.4,2505.0,EOD,-0.2
2026-01-06,0,26200,2026-01-06,14:10,0.107,65.1,49.75,-15.35,-1151.0,SL,-1.7
2026-01-07,6,26150,2026-01-13,15:25,0.157,193.05,191.35,-0.4,-30.0,EOD,0.0
2026-01-09,4,25850,2026-01-13,12:30,0.546,196.9,188.9,13.2,990.0,EOD,12.95
2026-01-12,1,25650,2026-01-13,12:45,0.015,197.8,176.4,-21.4,-1605.0,SL,-7.6
2026-01-14,6,25650,2026-01-20,15:15,0.445,252.65,250.15,1.65,124.0,EOD,-2.0
2026-01-19,1,25650,2026-01-20,12:40,0.412,187.0,183.9,-3.1,-232.0,SL,-3.45
2026-01-20,0,25600,2026-01-20,12:35,0.579,176.05,169.95,-6.1,-458.0,SL,-6.1
2026-01-21,6,25150,2026-01-27,12:35,0.031,333.65,324.0,-9.65,-724.0,SL,-9.65
2026-01-22,5,25350,2026-01-27,13:00,0.369,291.35,287.55,-3.8,-285.0,SL,0.0
2026-01-23,4,25350,2026-01-27,13:20,0.525,247.95,231.45,66.35,4976.0,EOD,-0.85
2026-01-28,6,25250,2026-02-03,14:55,0.089,430.05,425.9,-4.15,-311.0,SL,-0.25
2026-01-29,5,25350,2026-02-03,13:35,0.193,383.75,379.5,3.3,247.0,EOD,0.0
2026-01-30,4,25250,2026-02-03,12:30,0.15,408.65,406.0,-2.65,-199.0,SL,0.0
2026-02-02,1,24800,2026-02-03,13:00,0.43,272.65,253.05,-19.6,-1470.0,SL,0.0
2026-02-04,6,25650,2026-02-10,13:35,0.302,334.4,329.8,9.5,712.0,EOD,-0.5
2026-02-05,5,25750,2026-02-10,12:30,0.499,296.2,293.85,-2.35,-176.0,SL,-3.4
2026-02-06,4,25600,2026-02-10,14:40,0.186,212.05,208.85,5.4,405.0,EOD,-2.6
2026-02-09,1,25900,2026-02-10,15:10,0.255,146.5,144.7,-1.8,-135.0,SL,-0.65
2026-02-10,0,25900,2026-02-10,12:50,0.166,94.55,78.35,-16.2,-1215.0,SL,0.0
2026-02-11,6,26000,2026-02-17,12:35,0.226,239.85,235.75,-4.1,-308.0,SL,-4.1
2026-02-12,5,25900,2026-02-17,13:50,0.217,213.05,207.45,11.15,836.0,EOD,-0.85
2026-02-13,4,25600,2026-02-17,13:45,0.009,198.45,194.2,70.05,5254.0,EOD,-1.95
2026-02-17,0,25650,2026-02-17,12:45,0.339,105.75,100.85,-4.9,-368.0,SL,-1.45
2026-02-18,6,25750,2026-02-24,14:15,0.142,259.6,253.45,12.7,952.0,EOD,0.0
2026-02-23,1,25650,2026-02-24,14:35,0.104,185.35,181.55,-3.8,-285.0,SL,0.0
2026-02-25,5,25500,2026-03-02,14:50,0.304,300.8,296.75,-4.05,-304.0,SL,-3.1
2026-02-26,4,25550,2026-03-02,12:50,0.431,262.15,260.15,-2.0,-150.0,SL,-2.3
2026-03-02,0,24700,2026-03-02,14:10,0.019,117.7,104.6,-13.1,-982.0,SL,-0.75
2026-03-04,6,25000,2026-03-10,15:05,0.199,702.95,691.5,-11.45,-859.0,SL,0.0
2026-03-05,5,25000,2026-03-10,13:50,0.189,511.15,501.7,-9.45,-709.0,SL,-8.25
2026-03-06,4,25000,2026-03-10,13:10,0.266,510.95,505.15,-5.8,-435.0,SL,0.0
2026-03-09,1,23600,2026-03-10,12:45,0.111,503.4,490.1,52.65,3949.0,EOD,80.5
2026-03-12,5,24200,2026-03-17,14:10,0.231,602.2,577.35,-24.85,-1864.0,SL,-18.55
2026-03-16,1,23000,2026-03-17,14:20,0.204,382.15,357.15,56.5,4238.0,EOD,0.0
2026-03-17,0,23000,2026-03-17,12:40,0.31,424.15,414.65,157.25,11794.0,EOD,171.65
2026-03-19,5,23100,2026-03-24,14:10,0.21,493.85,489.15,46.05,3454.0,EOD,-1.7
2026-03-20,4,23100,2026-03-24,12:40,0.045,516.45,513.55,-2.9,-218.0,SL,-0.45
2026-03-24,0,23100,2026-03-24,14:40,0.044,219.8,194.8,-25.0,-1875.0,SL,0.0
2026-04-06,1,22800,2026-04-07,14:15,0.293,405.6,395.3,-10.3,-773.0,SL,-12.2
2026-04-07,0,22850,2026-04-07,13:35,0.419,200.0,175.0,-25.0,-1875.0,SL,-0.5
2026-04-08,5,23850,2026-04-13,13:25,0.353,445.8,443.4,3.0,225.0,EOD,-1.95
2026-04-09,4,24000,2026-04-13,13:00,0.141,410.1,408.5,-1.6,-120.0,SL,11.35
2026-04-10,3,24000,2026-04-13,14:45,0.537,290.55,286.7,-3.85,-289.0,SL,-0.85
2026-04-15,6,24150,2026-04-21,14:45,0.21,454.8,448.95,-4.3,-322.0,EOD,-0.65
2026-04-16,5,24300,2026-04-21,12:30,0.016,408.2,404.45,-3.75,-281.0,SL,-8.85
2026-04-17,4,24300,2026-04-21,14:45,0.471,325.65,318.4,-7.25,-544.0,SL,-3.15
2026-04-20,1,24300,2026-04-21,12:30,0.304,305.55,300.1,-5.45,-409.0,SL,-2.25
2026-04-21,0,24350,2026-04-21,12:30,0.356,222.8,215.25,-7.55,-566.0,SL,0.0
2026-04-22,6,24450,2026-04-28,15:00,0.213,441.4,439.25,-2.15,-161.0,SL,0.0
2026-04-23,5,24200,2026-04-28,14:40,0.098,373.45,369.65,-3.8,-285.0,SL,-1.4
2026-04-27,1,23950,2026-04-28,12:35,0.424,234.9,222.8,4.45,334.0,EOD,4.45
2026-04-28,0,24050,2026-04-28,13:35,0.184,81.55,75.4,-6.15,-461.0,SL,0.0
2026-05-04,1,24100,2026-05-05,13:30,0.108,248.95,235.05,-13.9,-1043.0,SL,-0.95
2026-05-06,6,24200,2026-05-12,12:35,0.544,419.05,415.1,-3.95,-296.0,SL,-1.8
2026-05-07,5,24400,2026-05-12,12:40,0.204,370.1,356.25,-13.85,-1039.0,SL,-2.45
2026-05-08,4,24250,2026-05-12,12:45,0.191,323.25,318.95,-4.3,-322.0,SL,-1.95
2026-05-11,1,24000,2026-05-12,14:55,0.209,212.55,208.55,9.6,720.0,EOD,-0.1
2026-05-13,6,23350,2026-05-19,12:30,0.546,488.85,484.55,-4.3,-322.0,SL,-0.85
2026-05-15,4,23750,2026-05-19,14:25,0.103,322.35,320.35,-2.0,-150.0,SL,0.0
2026-05-18,1,23500,2026-05-19,12:30,0.346,263.25,259.8,-3.45,-259.0,SL,-4.5
2026-05-19,0,23700,2026-05-19,14:45,0.219,57.75,33.6,24.05,1804.0,EOD,-0.3
2026-05-20,6,23450,2026-05-26,12:55,0.554,459.9,458.0,-1.9,-142.0,SL,0.0
2026-05-22,4,23700,2026-05-26,12:50,0.387,315.4,307.05,-8.35,-626.0,SL,-1.45
