Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
INFY,1d,EMA21/EMA50,2024-01-15 00:00:00,2024-02-29 00:00:00,1665.0,1682.25,1653.3,1673.9,1668.74,1635.89,Between Slow & Fast EMA,32,,,1673.9,1644.4,1.76,prior swing low @ 2024-02-22 00:00:00,1749.23,2.55,SL HIT,2024-03-04 00:00:00,Not Hit,1671.95,-1.76,3d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-03-06 00:00:00,3994.05,4072.0,3958.45,4064.3,4052.06,3976.54,At/Below Slow EMA,36,,,4064.3,3958.45,2.6,touch is swing low,4247.19,1.73,TARGET HIT,Not Hit,2024-03-18 00:00:00,4254.75,4.5,7d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-03-07 00:00:00,4065.0,4124.0,4037.7,4108.6,4057.2,3981.72,Between Slow & Fast EMA,37,,,4108.6,3958.45,3.65,prior swing low @ 2024-03-06 00:00:00,4293.49,1.23,SL HIT,2024-03-21 00:00:00,Not Hit,4254.75,-3.65,9d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-03-12 00:00:00,1466.6,1488.0,1465.03,1475.42,1471.78,1431.23,Between Slow & Fast EMA,42,,,1475.42,1450.17,1.71,prior swing low @ 2024-02-28 00:00:00,1541.81,2.63,SL HIT,2024-03-13 00:00:00,Not Hit,1483.1,-1.71,1d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-03-14 00:00:00,4153.45,4225.0,4086.0,4207.6,4093.06,4009.4,Between Slow & Fast EMA,41,,,4207.6,4086.0,2.89,touch is swing low,4396.94,1.56,SL HIT,2024-03-19 00:00:00,Not Hit,4254.75,-2.89,3d
INFY,1d,EMA21/EMA50,2024-01-15 00:00:00,2024-03-14 00:00:00,1614.4,1657.75,1608.0,1653.3,1641.88,1632.58,At/Below Slow EMA,42,,,1653.3,1576.0,4.68,prior swing low @ 2024-03-06 00:00:00,1727.7,0.96,SL HIT,2024-03-19 00:00:00,Not Hit,1645.8,-4.68,3d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-03-18 00:00:00,1075.05,1084.8,1060.05,1081.2,1068.8,1043.34,Between Slow & Fast EMA,52,,,1081.2,1060.05,1.96,touch is swing low,1129.85,2.3,SL HIT,2024-04-18 00:00:00,Not Hit,1116.55,-1.96,19d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-03-20 00:00:00,1080.0,1090.0,1067.5,1084.5,1071.48,1046.49,Between Slow & Fast EMA,54,,,1084.5,1060.05,2.25,prior swing low @ 2024-03-18 00:00:00,1133.3,2.0,SL HIT,2024-04-18 00:00:00,Not Hit,1116.55,-2.25,17d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-03-22 00:00:00,1449.97,1460.0,1447.35,1455.03,1454.31,1433.05,Between Slow & Fast EMA,50,,,1455.03,1412.9,2.9,prior swing low @ 2024-03-15 00:00:00,1520.51,1.55,SL HIT,2024-05-07 00:00:00,Not Hit,1505.95,-2.9,27d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-03-27 00:00:00,1448.0,1500.0,1447.0,1492.85,1456.76,1435.71,Between Slow & Fast EMA,52,,,1492.85,1439.0,3.61,prior swing low @ 2024-03-26 00:00:00,1560.03,1.25,SL HIT,2024-05-03 00:00:00,Not Hit,1505.95,-3.61,23d
TCS,1d,EMA21/EMA50,2024-01-16 00:00:00,2024-04-04 00:00:00,3975.9,4028.65,3935.25,4003.3,3989.52,3987.97,At/Below Slow EMA,54,,,4003.3,3851.0,3.8,prior swing low @ 2024-04-03 00:00:00,4183.45,1.18,SL HIT,2024-04-18 00:00:00,Not Hit,4064.2,-3.8,8d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-04-05 00:00:00,1070.0,1086.0,1067.45,1083.4,1079.64,1059.22,Between Slow & Fast EMA,64,,,1083.4,1063.45,1.84,prior swing low @ 2024-04-04 00:00:00,1132.15,2.44,SL HIT,2024-04-16 00:00:00,Not Hit,1116.55,-1.84,6d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-04-08 00:00:00,1078.35,1091.75,1076.3,1087.15,1080.33,1060.31,Between Slow & Fast EMA,65,,,1087.15,1063.45,2.18,prior swing low @ 2024-04-04 00:00:00,1136.07,2.06,SL HIT,2024-04-16 00:00:00,Not Hit,1116.55,-2.18,5d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-04-08 00:00:00,1462.97,1490.97,1461.0,1485.97,1466.12,1445.67,Between Slow & Fast EMA,59,,,1485.97,1450.0,2.42,prior swing low @ 2024-04-04 00:00:00,1552.84,1.86,SL HIT,2024-04-15 00:00:00,Not Hit,1489.8,-2.42,4d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-04-10 00:00:00,1466.35,1487.0,1466.35,1479.58,1467.14,1447.68,Between Slow & Fast EMA,61,,,1479.58,1450.0,2.0,prior swing low @ 2024-04-04 00:00:00,1546.16,2.25,SL HIT,2024-04-15 00:00:00,Not Hit,1486.47,-2.0,2d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-16 00:00:00,743.5,756.45,741.12,754.62,745.39,743.61,At/Below Slow EMA,3,,,754.62,710.62,5.83,prior swing low @ 2024-03-27 00:00:00,788.58,0.77,TARGET HIT,Not Hit,2024-06-03 00:00:00,799.5,4.5,32d
HDFCBANK,1d,EMA21/EMA50,2024-04-10 00:00:00,2024-04-19 00:00:00,743.27,767.48,740.12,765.65,747.39,744.62,At/Below Slow EMA,5,,,765.65,740.12,3.33,touch is swing low,800.1,1.35,SL HIT,2024-05-09 00:00:00,Not Hit,778.7,-3.33,13d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-04-19 00:00:00,1456.78,1474.0,1443.03,1470.12,1466.92,1451.09,At/Below Slow EMA,66,,,1470.12,1443.03,1.84,touch is swing low,1536.28,2.44,SL HIT,2024-04-25 00:00:00,Not Hit,1493.5,-1.84,4d
RELIANCE,1d,EMA21/EMA50,2024-01-11 00:00:00,2024-04-22 00:00:00,1472.45,1482.83,1467.8,1479.85,1468.09,1452.21,Between Slow & Fast EMA,67,,,1479.85,1443.03,2.49,prior swing low @ 2024-04-19 00:00:00,1546.44,1.81,SL HIT,2024-04-25 00:00:00,Not Hit,1493.5,-2.49,3d
ICICIBANK,1d,EMA21/EMA50,2024-01-03 00:00:00,2024-04-22 00:00:00,1078.8,1088.7,1070.35,1086.65,1081.02,1066.58,Between Slow & Fast EMA,73,,,1086.65,1048.1,3.55,prior swing low @ 2024-04-19 00:00:00,1135.55,1.27,TARGET HIT,Not Hit,2024-04-29 00:00:00,1163.45,4.5,5d
