Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,SL %,SL Source,Target Price,R:R,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-06 10:15:00,1437.9,1448.8,1437.5,1448.0,,,At/Below Slow EMA,22,1444.35,1439.71,1448.0,1433.5,1.0,prior swing low @ 2026-02-06 09:15:00,1462.48,1.0,TARGET HIT,Not Hit,2026-02-09 09:15:00,1464.9,1.0,6h
ICICIBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-06 12:15:00,1395.7,1403.0,1395.0,1401.9,,,At/Below Slow EMA,24,1400.2,1397.06,1401.9,1394.8,0.51,prior swing low @ 2026-02-06 11:15:00,1415.92,1.97,SL HIT,2026-02-09 12:15:00,Not Hit,1413.5,-0.51,7h
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-06 14:15:00,1442.4,1451.4,1440.0,1450.4,,,At/Below Slow EMA,26,1444.51,1441.22,1450.4,1434.7,1.08,prior swing low @ 2026-02-06 12:15:00,1464.9,0.92,TARGET HIT,Not Hit,2026-02-09 09:15:00,1464.9,1.0,2h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-10 12:15:00,1398.5,1406.9,1396.0,1404.9,,,At/Below Slow EMA,2,1399.16,1398.44,1404.9,1388.8,1.15,prior swing low @ 2026-02-09 13:15:00,1418.95,0.87,TARGET HIT,Not Hit,2026-02-12 09:15:00,1428.0,1.0,11h
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-11 10:15:00,1458.0,1465.5,1458.0,1462.6,,,Between Slow & Fast EMA,43,1459.04,1456.47,1462.6,1452.2,0.71,prior swing low @ 2026-02-10 13:15:00,1477.23,1.41,SL HIT,2026-02-12 13:15:00,Not Hit,1473.0,-0.71,10h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-11 11:15:00,1402.5,1407.0,1401.7,1403.8,,,Between Slow & Fast EMA,8,1402.6,1401.01,1403.8,1400.5,0.24,prior swing low @ 2026-02-11 10:15:00,1417.84,4.25,TARGET HIT,Not Hit,2026-02-12 09:15:00,1428.0,1.0,5h
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,2026-02-11 11:15:00,1462.5,1466.6,1459.9,1466.4,,,Between Slow & Fast EMA,44,1460.38,1457.42,1466.4,1452.2,0.97,prior swing low @ 2026-02-10 13:15:00,1481.06,1.03,SL HIT,2026-02-12 13:15:00,Not Hit,1473.0,-0.97,9h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-11 12:15:00,1403.7,1407.7,1401.4,1404.7,,,Between Slow & Fast EMA,9,1402.98,1401.36,1404.7,1400.5,0.3,prior swing low @ 2026-02-11 10:15:00,1418.75,3.34,TARGET HIT,Not Hit,2026-02-12 09:15:00,1428.0,1.0,4h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-11 13:15:00,1404.6,1408.0,1403.4,1407.0,,,Between Slow & Fast EMA,10,1403.71,1401.9,1407.0,1400.5,0.46,prior swing low @ 2026-02-11 10:15:00,1421.07,2.16,TARGET HIT,Not Hit,2026-02-12 09:15:00,1428.0,1.0,3h
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,2026-02-12 09:15:00,1406.1,1428.0,1406.1,1423.5,,,Between Slow & Fast EMA,13,1408.48,1404.96,1423.5,1400.5,1.62,prior swing low @ 2026-02-11 10:15:00,1437.73,0.62,SL HIT,2026-02-17 09:15:00,Not Hit,1433.9,-1.62,21h
