SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
5.5,6.5,1.18,559,168,375,30.9,-1.787,-998.85
4.75,12.5,2.63,559,83,444,15.7,-1.801,-1006.63
5.0,14.0,2.8,559,81,440,15.5,-1.804,-1008.56
4.75,12.0,2.53,559,85,442,16.1,-1.815,-1014.63
5.0,8.5,1.7,559,121,411,22.7,-1.831,-1023.64
5.0,12.5,2.5,559,88,435,16.8,-1.832,-1024.29
4.75,11.5,2.42,559,87,440,16.5,-1.833,-1024.63
5.5,7.0,1.27,559,158,383,29.2,-1.841,-1029.34
5.0,12.0,2.4,559,90,433,17.2,-1.85,-1034.29
5.0,13.0,2.6,559,85,438,16.3,-1.85,-1034.29
5.25,8.0,1.52,559,137,402,25.4,-1.851,-1034.62
5.75,6.0,1.04,559,180,363,33.1,-1.854,-1036.39
5.0,11.5,2.3,559,92,431,17.6,-1.872,-1046.29
4.75,9.5,2.0,559,100,431,18.8,-1.899,-1061.41
4.75,9.0,1.89,559,106,428,19.9,-1.901,-1062.52
4.75,11.0,2.32,559,87,440,16.5,-1.911,-1068.13
5.25,15.0,2.86,559,79,440,15.2,-1.92,-1073.16
5.75,7.5,1.3,559,155,384,28.8,-1.926,-1076.47
5.25,13.5,2.57,559,86,435,16.5,-1.928,-1077.64
5.75,6.5,1.13,559,169,373,31.2,-1.93,-1078.73
4.75,10.0,2.11,559,94,436,17.7,-1.947,-1088.24
5.0,9.5,1.9,559,105,422,19.9,-1.951,-1090.82
5.0,11.0,2.2,559,92,431,17.6,-1.954,-1092.29
5.5,8.0,1.45,559,140,398,26.0,-1.955,-1092.99
5.25,14.5,2.76,559,80,439,15.4,-1.955,-1092.91
5.0,9.0,1.8,559,111,419,20.9,-1.956,-1093.68
5.25,14.0,2.67,559,82,437,15.8,-1.958,-1094.41
4.75,10.5,2.21,559,88,439,16.7,-1.961,-1096.38
5.25,12.5,2.38,559,89,432,17.1,-1.986,-1110.39
5.75,7.0,1.22,559,159,381,29.4,-1.987,-1110.72
5.0,10.0,2.0,559,99,427,18.8,-1.997,-1116.4
5.5,15.0,2.73,559,82,436,15.8,-2.004,-1120.03
5.25,12.0,2.29,559,91,430,17.5,-2.004,-1120.39
5.25,13.0,2.48,559,86,435,16.5,-2.005,-1120.64
5.25,8.5,1.62,559,121,409,22.8,-2.006,-1121.49
5.0,10.5,2.1,559,93,430,17.8,-2.009,-1122.79
5.5,13.5,2.45,559,89,431,17.1,-2.017,-1127.76
5.25,11.5,2.19,559,93,428,17.9,-2.026,-1132.39
5.5,14.5,2.64,559,83,435,16.0,-2.041,-1141.03
5.5,14.0,2.55,559,85,433,16.4,-2.046,-1143.53
5.75,8.0,1.39,559,143,394,26.6,-2.057,-1149.62
5.5,12.0,2.18,559,95,425,18.3,-2.068,-1156.26
5.5,12.5,2.27,559,92,428,17.7,-2.08,-1162.76
5.75,15.0,2.61,559,85,432,16.4,-2.084,-1165.16
6.0,6.5,1.08,559,169,372,31.2,-2.092,-1169.53
6.0,7.5,1.25,559,155,383,28.8,-2.093,-1170.02
5.5,11.5,2.09,559,97,423,18.7,-2.093,-1169.76
5.5,13.0,2.36,559,89,431,17.1,-2.097,-1172.26
5.75,13.5,2.35,559,92,427,17.7,-2.104,-1176.14
5.25,11.0,2.1,559,93,428,17.9,-2.109,-1178.89
5.5,8.5,1.55,559,124,405,23.4,-2.111,-1180.11
5.75,14.5,2.52,559,86,431,16.6,-2.124,-1187.41
5.75,14.0,2.43,559,88,429,17.0,-2.13,-1190.91
5.25,9.5,1.81,559,105,420,20.0,-2.131,-1191.42
5.25,9.0,1.71,559,111,417,21.0,-2.135,-1193.53
5.25,10.0,1.9,559,100,424,19.1,-2.152,-1203.0
6.0,7.0,1.17,559,159,380,29.5,-2.153,-1203.52
5.75,12.0,2.09,559,98,421,18.9,-2.16,-1207.64
5.25,10.5,2.0,559,94,427,18.0,-2.164,-1209.64
5.75,12.5,2.17,559,95,424,18.3,-2.171,-1213.39
5.5,11.0,2.0,559,97,423,18.7,-2.179,-1218.26
5.75,11.5,2.0,559,100,419,19.3,-2.186,-1222.14
5.75,13.0,2.26,559,92,427,17.7,-2.186,-1222.14
5.5,9.5,1.73,559,109,415,20.8,-2.209,-1234.79
5.75,8.5,1.48,559,127,401,24.1,-2.213,-1236.99
5.5,9.0,1.64,559,115,412,21.8,-2.215,-1238.15
5.5,10.0,1.82,559,104,419,19.9,-2.228,-1245.37
6.0,8.0,1.33,559,143,393,26.7,-2.228,-1245.67
5.5,10.5,1.91,559,98,422,18.8,-2.237,-1250.76
6.0,15.0,2.5,559,85,431,16.5,-2.273,-1270.71
5.75,11.0,1.91,559,100,419,19.3,-2.276,-1272.14
6.0,12.0,2.0,559,100,418,19.3,-2.28,-1274.44
6.0,12.5,2.08,559,97,421,18.7,-2.29,-1279.94
6.0,13.5,2.25,559,92,426,17.8,-2.291,-1280.44
6.0,13.0,2.17,559,94,424,18.1,-2.305,-1288.44
6.0,11.5,1.92,559,102,416,19.7,-2.307,-1289.44
5.75,9.5,1.65,559,112,411,21.4,-2.31,-1291.17
6.0,14.5,2.42,559,86,430,16.7,-2.313,-1292.71
5.75,9.0,1.57,559,118,408,22.4,-2.317,-1295.28
6.0,14.0,2.33,559,88,428,17.1,-2.318,-1295.71
5.75,10.0,1.74,559,107,415,20.5,-2.328,-1301.25
5.75,10.5,1.83,559,101,418,19.5,-2.336,-1305.89
6.0,8.5,1.42,559,127,400,24.1,-2.388,-1334.79
6.0,11.0,1.83,559,102,416,19.7,-2.398,-1340.44
6.0,9.5,1.58,559,114,408,21.8,-2.434,-1360.47
6.0,9.0,1.5,559,120,405,22.9,-2.442,-1364.83
6.0,10.0,1.67,559,109,412,20.9,-2.452,-1370.55
6.0,10.5,1.75,559,103,415,19.9,-2.46,-1374.94
