Stock,Timeframe,EMA Pair,Cross Time,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Touch,EMA20 @ Touch,Entry,SL Price,Target Price,Outcome,SL Hit Time,Target Hit Time,Max High Seen,PnL %,Duration
ICICIBANK,1d,EMA10/EMA20,2025-02-04 00:00:00,2025-02-19 00:00:00,1234.85,1264.45,1230.25,1261.65,,,At/Below Slow EMA,11,1254.17,1253.35,1261.65,1255.34,1293.19,SL HIT,2025-02-20 00:00:00,Not Hit,1264.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-05 00:00:00,2025-02-19 00:00:00,858.5,868.95,856.23,863.6,,,Between Slow & Fast EMA,10,856.37,853.38,863.6,859.28,885.19,SL HIT,2025-02-20 00:00:00,Not Hit,857.35,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-02-28 00:00:00,2025-03-04 00:00:00,849.0,857.15,846.62,855.0,,,At/Below Slow EMA,2,852.34,851.62,855.0,850.73,876.37,SL HIT,2025-03-05 00:00:00,Not Hit,855.4,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-02 00:00:00,885.35,899.6,885.35,898.45,,,Between Slow & Fast EMA,11,892.95,881.11,898.45,893.96,920.91,SL HIT,2025-04-03 00:00:00,Not Hit,902.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-02 00:00:00,1322.15,1337.95,1322.15,1331.25,,,Between Slow & Fast EMA,11,1323.55,1301.4,1331.25,1324.59,1364.53,SL HIT,2025-04-03 00:00:00,Not Hit,1333.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-03 00:00:00,1321.95,1333.0,1321.25,1329.55,,,Between Slow & Fast EMA,12,1324.64,1304.08,1329.55,1322.9,1362.79,SL HIT,2025-04-04 00:00:00,Not Hit,1338.55,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-03 00:00:00,890.55,902.0,888.5,897.42,,,Between Slow & Fast EMA,12,893.76,882.66,897.42,892.93,919.86,TARGET HIT,Not Hit,2025-04-04 00:00:00,920.98,2.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-04 00:00:00,1329.55,1338.55,1322.1,1335.3,,,Between Slow & Fast EMA,13,1326.58,1307.05,1335.3,1328.62,1368.68,SL HIT,2025-04-07 00:00:00,Not Hit,1325.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-04-11 00:00:00,887.38,909.7,887.38,903.38,,,Between Slow & Fast EMA,17,892.45,886.16,903.38,898.86,925.96,TARGET HIT,Not Hit,2025-04-15 00:00:00,938.4,2.5,1d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-07 00:00:00,3420.6,3459.5,3420.6,3445.1,,,At/Below Slow EMA,1,3432.15,3428.33,3445.1,3427.87,3531.23,SL HIT,2025-05-09 00:00:00,Not Hit,3477.0,-0.5,2d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-08 00:00:00,3448.0,3477.0,3428.7,3448.9,,,At/Below Slow EMA,2,3435.2,3430.29,3448.9,3431.66,3535.12,SL HIT,2025-05-09 00:00:00,Not Hit,3446.2,-0.5,1d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-09 00:00:00,3399.0,3446.2,3398.1,3440.3,,,At/Below Slow EMA,3,3436.12,3431.24,3440.3,3423.1,3526.31,TARGET HIT,Not Hit,2025-05-12 00:00:00,3630.5,2.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-12 00:00:00,1409.4,1453.0,1404.0,1448.5,,,Between Slow & Fast EMA,35,1422.46,1402.37,1448.5,1441.26,1484.71,SL HIT,2025-05-13 00:00:00,Not Hit,1447.9,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-12 00:00:00,958.8,979.95,956.15,978.6,,,Between Slow & Fast EMA,35,962.01,949.84,978.6,973.71,1003.06,SL HIT,2025-05-13 00:00:00,Not Hit,980.85,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-15 00:00:00,956.75,972.4,948.5,966.9,,,At/Below Slow EMA,38,961.81,952.83,966.9,962.07,991.07,SL HIT,2025-05-20 00:00:00,Not Hit,972.5,-0.5,3d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-15 00:00:00,1425.9,1456.5,1415.5,1450.8,,,Between Slow & Fast EMA,38,1429.16,1411.24,1450.8,1443.55,1487.07,SL HIT,2025-05-20 00:00:00,Not Hit,1459.7,-0.5,3d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-21 00:00:00,3508.0,3537.0,3498.3,3525.8,,,Between Slow & Fast EMA,11,3515.95,3491.61,3525.8,3508.17,3613.94,SL HIT,2025-05-22 00:00:00,Not Hit,3497.8,-0.5,1d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-05-21 00:00:00,1567.9,1571.0,1552.1,1568.5,,,Between Slow & Fast EMA,8,1562.22,1544.23,1568.5,1560.66,1607.71,SL HIT,2025-05-22 00:00:00,Not Hit,1560.8,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-05-21 00:00:00,1423.9,1436.2,1418.1,1429.2,,,Between Slow & Fast EMA,21,1424.53,1395.15,1429.2,1422.05,1464.93,SL HIT,2025-05-22 00:00:00,Not Hit,1423.8,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-22 00:00:00,1441.1,1445.3,1427.8,1442.1,,,Between Slow & Fast EMA,43,1438.92,1424.56,1442.1,1434.89,1478.15,SL HIT,2025-05-23 00:00:00,Not Hit,1451.8,-0.5,1d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-23 00:00:00,3477.0,3535.0,3465.6,3514.6,,,At/Below Slow EMA,13,3509.91,3492.54,3514.6,3497.03,3602.46,SL HIT,2025-05-27 00:00:00,Not Hit,3545.0,-0.5,2d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-05-23 00:00:00,1550.0,1587.2,1550.0,1564.8,,,Between Slow & Fast EMA,10,1560.5,1546.47,1564.8,1556.98,1603.92,SL HIT,2025-05-27 00:00:00,Not Hit,1583.8,-0.5,2d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-05-23 00:00:00,1406.6,1433.8,1406.6,1426.8,,,Between Slow & Fast EMA,23,1422.69,1399.39,1426.8,1419.67,1462.47,SL HIT,2025-05-27 00:00:00,Not Hit,1441.0,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-23 00:00:00,1442.2,1451.8,1434.4,1449.8,,,Between Slow & Fast EMA,44,1440.9,1426.96,1449.8,1442.55,1486.04,SL HIT,2025-05-27 00:00:00,Not Hit,1471.6,-0.5,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-23 00:00:00,960.05,968.5,957.25,966.8,,,At/Below Slow EMA,44,963.19,957.81,966.8,961.97,990.97,SL HIT,2025-05-27 00:00:00,Not Hit,974.95,-0.5,2d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-05-26 00:00:00,1566.6,1583.8,1562.7,1580.5,,,Between Slow & Fast EMA,11,1564.14,1549.71,1580.5,1572.6,1620.01,SL HIT,2025-05-27 00:00:00,Not Hit,1582.9,-0.5,1d
TCS,1d,EMA10/EMA20,2025-05-06 00:00:00,2025-05-26 00:00:00,3521.0,3545.0,3510.1,3537.3,,,Between Slow & Fast EMA,14,3514.89,3496.8,3537.3,3519.61,3625.73,SL HIT,2025-05-27 00:00:00,Not Hit,3540.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-26 00:00:00,967.5,974.95,963.45,970.1,,,Between Slow & Fast EMA,45,964.44,958.98,970.1,965.25,994.35,SL HIT,2025-05-27 00:00:00,Not Hit,974.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-28 00:00:00,1447.6,1458.0,1442.5,1453.8,,,Between Slow & Fast EMA,47,1446.46,1433.81,1453.8,1446.53,1490.14,SL HIT,2025-05-29 00:00:00,Not Hit,1462.9,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-05-30 00:00:00,965.95,974.4,962.7,972.45,,,Between Slow & Fast EMA,49,965.34,961.19,972.45,967.59,996.76,SL HIT,2025-06-02 00:00:00,Not Hit,968.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-02 00:00:00,965.05,968.0,954.0,966.05,,,At/Below Slow EMA,50,965.47,961.65,966.05,961.22,990.2,SL HIT,2025-06-03 00:00:00,Not Hit,976.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-02 00:00:00,1442.0,1460.0,1432.8,1450.5,,,At/Below Slow EMA,50,1448.32,1438.2,1450.5,1443.25,1486.76,SL HIT,2025-06-03 00:00:00,Not Hit,1455.0,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-06-04 00:00:00,1414.7,1425.7,1406.1,1423.5,,,At/Below Slow EMA,31,1418.47,1409.66,1423.5,1416.38,1459.09,TARGET HIT,Not Hit,2025-06-11 00:00:00,1468.6,2.5,5d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-04 00:00:00,960.5,971.65,960.45,970.6,,,At/Below Slow EMA,52,965.93,962.56,970.6,965.75,994.86,TARGET HIT,Not Hit,2025-06-06 00:00:00,998.15,2.5,2d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-05 00:00:00,1430.9,1459.0,1427.3,1454.8,,,At/Below Slow EMA,53,1445.65,1439.14,1454.8,1447.53,1491.17,SL HIT,2025-06-06 00:00:00,Not Hit,1461.4,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-06 00:00:00,1448.6,1461.4,1442.1,1459.7,,,Between Slow & Fast EMA,54,1448.21,1441.1,1459.7,1452.4,1496.19,SL HIT,2025-06-09 00:00:00,Not Hit,1466.8,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-06 00:00:00,972.0,998.15,971.35,989.35,,,Between Slow & Fast EMA,54,971.51,966.16,989.35,984.4,1014.08,SL HIT,2025-06-10 00:00:00,Not Hit,997.5,-0.5,2d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-06-06 00:00:00,1554.7,1568.9,1543.1,1563.8,,,At/Below Slow EMA,20,1559.73,1555.89,1563.8,1555.98,1602.89,TARGET HIT,Not Hit,2025-06-10 00:00:00,1607.5,2.5,2d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-06-13 00:00:00,1576.0,1609.0,1570.2,1602.0,,,At/Below Slow EMA,25,1588.06,1574.6,1602.0,1593.99,1642.05,TARGET HIT,Not Hit,2025-06-17 00:00:00,1647.4,2.5,2d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-06-16 00:00:00,1426.9,1442.4,1424.4,1437.8,,,At/Below Slow EMA,39,1435.32,1426.59,1437.8,1430.61,1473.74,SL HIT,2025-06-17 00:00:00,Not Hit,1448.0,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-06-20 00:00:00,965.8,984.95,965.8,982.35,,,At/Below Slow EMA,64,971.64,969.79,982.35,977.44,1006.91,SL HIT,2025-06-23 00:00:00,Not Hit,978.95,-0.5,1d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-06-20 00:00:00,1619.0,1630.7,1608.9,1622.9,,,Between Slow & Fast EMA,30,1612.44,1595.27,1622.9,1614.79,1663.47,SL HIT,2025-06-23 00:00:00,Not Hit,1601.0,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-06-20 00:00:00,1431.0,1471.0,1428.1,1466.2,,,At/Below Slow EMA,43,1439.59,1431.54,1466.2,1458.87,1502.86,SL HIT,2025-06-23 00:00:00,Not Hit,1463.8,-0.5,1d
RELIANCE,1d,EMA10/EMA20,2025-04-21 00:00:00,2025-06-23 00:00:00,1453.0,1463.8,1442.0,1456.8,,,Between Slow & Fast EMA,44,1442.72,1433.94,1456.8,1449.52,1493.22,SL HIT,2025-06-24 00:00:00,Not Hit,1475.0,-0.5,1d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-06-25 00:00:00,1590.0,1619.9,1585.1,1614.9,,,At/Below Slow EMA,33,1604.84,1595.08,1614.9,1606.83,1655.27,SL HIT,2025-06-26 00:00:00,Not Hit,1624.0,-0.5,1d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-06-26 00:00:00,1608.8,1624.0,1606.6,1616.0,,,Between Slow & Fast EMA,34,1606.87,1597.07,1616.0,1607.92,1656.4,SL HIT,2025-06-27 00:00:00,Not Hit,1629.6,-0.5,1d
INFY,1d,EMA10/EMA20,2025-05-09 00:00:00,2025-07-04 00:00:00,1625.0,1643.4,1612.3,1640.7,,,Between Slow & Fast EMA,40,1614.88,1605.76,1640.7,1632.5,1681.72,SL HIT,2025-07-07 00:00:00,Not Hit,1644.0,-0.5,1d
ICICIBANK,1d,EMA10/EMA20,2025-06-27 00:00:00,2025-07-04 00:00:00,1427.0,1444.4,1421.1,1442.8,,,At/Below Slow EMA,5,1434.19,1432.99,1442.8,1435.59,1478.87,SL HIT,2025-07-07 00:00:00,Not Hit,1440.9,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-04 00:00:00,993.55,1001.75,990.0,994.65,,,Between Slow & Fast EMA,74,993.23,986.46,994.65,989.68,1019.52,SL HIT,2025-07-08 00:00:00,Not Hit,1002.5,-0.5,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-08 00:00:00,988.5,1002.5,988.5,1000.7,,,Between Slow & Fast EMA,76,994.66,988.44,1000.7,995.7,1025.72,SL HIT,2025-07-11 00:00:00,Not Hit,1008.5,-0.5,3d
ICICIBANK,1d,EMA10/EMA20,2025-06-27 00:00:00,2025-07-08 00:00:00,1432.0,1445.0,1430.0,1442.0,,,At/Below Slow EMA,7,1435.83,1434.08,1442.0,1434.79,1478.05,SL HIT,2025-07-09 00:00:00,Not Hit,1438.7,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-15 00:00:00,986.5,1001.8,986.5,997.75,,,At/Below Slow EMA,81,996.14,991.98,997.75,992.76,1022.69,SL HIT,2025-07-17 00:00:00,Not Hit,1011.35,-0.5,2d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-21 00:00:00,989.1,1001.0,988.25,1000.25,,,At/Below Slow EMA,85,994.17,992.18,1000.25,995.25,1025.26,SL HIT,2025-08-04 00:00:00,Not Hit,1018.85,-0.5,10d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-28 00:00:00,1001.5,1010.7,1000.25,1004.25,,,Between Slow & Fast EMA,90,1001.34,997.5,1004.25,999.23,1029.36,SL HIT,2025-07-29 00:00:00,Not Hit,1013.25,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-29 00:00:00,999.95,1013.25,998.15,1010.8,,,At/Below Slow EMA,91,1003.06,998.76,1010.8,1005.75,1036.07,SL HIT,2025-07-31 00:00:00,Not Hit,1016.3,-0.5,2d
ICICIBANK,1d,EMA10/EMA20,2025-07-21 00:00:00,2025-07-31 00:00:00,1469.9,1494.5,1464.0,1481.4,,,Between Slow & Fast EMA,8,1473.15,1460.29,1481.4,1473.99,1518.43,SL HIT,2025-08-01 00:00:00,Not Hit,1485.1,-0.5,1d
HDFCBANK,1d,EMA10/EMA20,2025-03-17 00:00:00,2025-07-31 00:00:00,1007.3,1015.7,1004.0,1009.1,,,Between Slow & Fast EMA,93,1005.62,1000.97,1009.1,1004.05,1034.33,SL HIT,2025-08-04 00:00:00,Not Hit,1014.15,-0.5,2d
