SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,5.5,5.5,141,31,110,0,22.0,0.429,60.5,5.5,-1.0,0.429,1.55,-37.5,1.61
1.0,6.0,6.0,141,29,112,0,20.6,0.44,62.0,6.0,-1.0,0.44,1.55,-37.0,1.68
1.0,6.5,6.5,141,25,116,0,17.7,0.33,46.5,6.5,-1.0,0.33,1.4,-36.5,1.27
1.0,7.0,7.0,141,23,118,0,16.3,0.305,43.0,7.0,-1.0,0.305,1.36,-36.0,1.19
1.0,7.5,7.5,141,23,118,0,16.3,0.387,54.5,7.5,-1.0,0.387,1.46,-35.5,1.54
1.0,8.0,8.0,141,20,121,0,14.2,0.277,39.0,8.0,-1.0,0.277,1.32,-35.0,1.11
1.0,8.5,8.5,141,18,123,0,12.8,0.213,30.0,8.5,-1.0,0.213,1.24,-37.5,0.8
1.0,9.0,9.0,141,14,127,0,9.9,-0.007,-1.0,9.0,-1.0,-0.007,0.99,-41.0,-0.02
1.0,9.5,9.5,141,13,128,0,9.2,-0.032,-4.5,9.5,-1.0,-0.032,0.96,-40.5,-0.11
1.0,10.0,10.0,141,11,130,0,7.8,-0.142,-20.0,10.0,-1.0,-0.142,0.85,-48.0,-0.42
1.0,10.5,10.5,141,9,132,0,6.4,-0.266,-37.5,10.5,-1.0,-0.266,0.72,-54.5,-0.69
1.0,11.0,11.0,141,8,133,0,5.7,-0.319,-45.0,11.0,-1.0,-0.319,0.66,-63.0,-0.71
1.0,11.5,11.5,141,8,133,0,5.7,-0.291,-41.0,11.5,-1.0,-0.291,0.69,-60.0,-0.68
1.0,12.0,12.0,141,7,134,0,5.0,-0.355,-50.0,12.0,-1.0,-0.355,0.63,-70.0,-0.71
1.0,12.5,12.5,141,6,135,0,4.3,-0.426,-60.0,12.5,-1.0,-0.426,0.56,-81.0,-0.74
1.0,13.0,13.0,141,6,135,0,4.3,-0.404,-57.0,13.0,-1.0,-0.404,0.58,-79.0,-0.72
1.0,13.5,13.5,141,6,135,0,4.3,-0.383,-54.0,13.5,-1.0,-0.383,0.6,-77.0,-0.7
1.0,14.0,14.0,141,6,135,0,4.3,-0.362,-51.0,14.0,-1.0,-0.362,0.62,-75.0,-0.68
1.0,14.5,14.5,141,6,135,0,4.3,-0.34,-48.0,14.5,-1.0,-0.34,0.64,-73.0,-0.66
1.0,15.0,15.0,141,6,135,0,4.3,-0.319,-45.0,15.0,-1.0,-0.319,0.67,-71.0,-0.63
1.25,1.5,1.2,141,63,75,0,45.7,-0.235,-33.19,1.54,-1.75,-0.235,0.75,-59.16,-0.56
1.25,2.0,1.6,141,54,87,0,38.3,-0.005,-0.75,2.0,-1.25,-0.005,0.99,-37.5,-0.02
1.25,2.5,2.0,141,52,89,0,36.9,0.133,18.75,2.5,-1.25,0.133,1.17,-35.0,0.54
1.25,3.0,2.4,141,45,96,0,31.9,0.106,15.0,3.0,-1.25,0.106,1.12,-41.0,0.37
1.25,3.5,2.8,141,43,98,0,30.5,0.199,28.0,3.5,-1.25,0.199,1.23,-39.5,0.71
1.25,4.0,3.2,141,39,102,0,27.7,0.202,28.5,4.0,-1.25,0.202,1.22,-39.25,0.73
1.25,4.5,3.6,141,37,104,0,26.2,0.259,36.5,4.5,-1.25,0.259,1.28,-49.25,0.74
1.25,5.0,4.0,141,34,107,0,24.1,0.257,36.25,5.0,-1.25,0.257,1.27,-48.75,0.74
1.25,5.5,4.4,141,33,108,0,23.4,0.33,46.5,5.5,-1.25,0.33,1.34,-48.25,0.96
1.25,6.0,4.8,141,31,110,0,22.0,0.344,48.5,6.0,-1.25,0.344,1.35,-47.75,1.02
1.25,6.5,5.2,141,27,114,0,19.1,0.234,33.0,6.5,-1.25,0.234,1.23,-47.25,0.7
1.25,7.0,5.6,141,25,116,0,17.7,0.213,30.0,7.0,-1.25,0.213,1.21,-46.75,0.64
1.25,7.5,6.0,141,25,116,0,17.7,0.301,42.5,7.5,-1.25,0.301,1.29,-46.25,0.92
1.25,8.0,6.4,141,22,119,0,15.6,0.193,27.25,8.0,-1.25,0.193,1.18,-45.75,0.6
1.25,8.5,6.8,141,20,121,0,14.2,0.133,18.75,8.5,-1.25,0.133,1.12,-49.0,0.38
1.25,9.0,7.2,141,15,126,0,10.6,-0.16,-22.5,9.0,-1.25,-0.16,0.86,-60.25,-0.37
1.25,9.5,7.6,141,13,128,0,9.2,-0.259,-36.5,9.5,-1.25,-0.259,0.77,-58.75,-0.62
