Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA9 @ Cross,EMA9 @ Touch
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-07 13:15:00,1225.5,1241.6,1225.5,1236.1,1221.78,,Between Slow & Fast EMA,6,1219.44,1225.6
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-09 10:15:00,1293.8,1298.8,1290.6,1294.8,1270.93,,Between Slow & Fast EMA,17,1219.44,1293.21
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-10 09:15:00,1289.0,1321.1,1288.5,1320.8,1280.25,,Between Slow & Fast EMA,23,1219.44,1294.03
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-13 10:15:00,1309.8,1319.4,1308.8,1317.3,1300.52,,Between Slow & Fast EMA,31,1219.44,1313.79
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-13 11:15:00,1317.2,1330.0,1315.4,1329.9,1303.19,,Between Slow & Fast EMA,32,1219.44,1317.01
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-15 11:15:00,1338.3,1346.5,1338.0,1346.3,1323.79,,Between Slow & Fast EMA,39,1219.44,1339.52
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-17 14:15:00,1341.6,1346.5,1339.2,1346.1,1340.22,,At/Below Slow EMA,56,1219.44,1342.88
ICICIBANK,1h,EMA9/EMA21,2026-04-06 14:15:00,1233.6,1217.65,,2026-04-20 13:15:00,1358.1,1359.3,1353.0,1358.5,1348.52,,Between Slow & Fast EMA,62,1219.44,1354.86
ICICIBANK,1h,EMA9/EMA21,2026-05-07 09:15:00,1288.1,1267.56,,2026-05-07 15:15:00,1274.0,1279.8,1273.7,1279.0,1273.75,,At/Below Slow EMA,6,1269.94,1278.06
INFY,1h,EMA9/EMA21,2026-01-01 10:15:00,1626.2,1622.75,,2026-01-01 11:15:00,1626.0,1638.7,1625.0,1635.4,1623.9,,Between Slow & Fast EMA,1,1623.16,1625.61
INFY,1h,EMA9/EMA21,2026-01-01 10:15:00,1626.2,1622.75,,2026-01-01 15:15:00,1629.4,1631.7,1626.9,1629.5,1626.64,,Between Slow & Fast EMA,5,1623.16,1629.45
