SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
4.5,13.5,3.0,231,30,177,14.5,-1.553,-358.85
4.25,11.0,2.59,231,32,175,15.5,-1.555,-359.1
5.0,10.0,2.0,231,45,163,21.6,-1.56,-360.42
4.0,11.5,2.88,231,28,180,13.5,-1.567,-362.0
5.25,9.5,1.81,231,49,158,23.7,-1.568,-362.29
4.25,14.5,3.41,231,25,180,12.2,-1.572,-363.12
3.75,11.0,2.93,231,27,184,12.8,-1.578,-364.53
3.75,14.5,3.87,231,21,188,10.0,-1.581,-365.3
4.0,12.5,3.12,231,26,182,12.5,-1.589,-367.0
4.25,15.0,3.53,231,24,181,11.7,-1.601,-369.87
4.5,12.0,2.67,231,32,175,15.5,-1.605,-370.85
5.0,11.5,2.3,231,38,167,18.5,-1.607,-371.31
4.5,11.0,2.44,231,34,173,16.4,-1.61,-371.85
3.75,15.0,4.0,231,20,189,9.6,-1.617,-373.55
4.5,13.0,2.89,231,30,177,14.5,-1.618,-373.85
4.5,10.5,2.33,231,35,172,16.9,-1.618,-373.85
4.0,14.5,3.62,231,22,184,10.7,-1.62,-374.27
3.75,14.0,3.73,231,21,188,10.0,-1.627,-375.8
4.0,11.0,2.75,231,28,180,13.5,-1.628,-376.0
6.0,8.5,1.42,231,61,149,29.0,-1.644,-379.84
5.5,9.0,1.64,231,53,155,25.5,-1.647,-380.38
4.75,10.0,2.11,231,41,169,19.5,-1.655,-382.21
4.0,15.0,3.75,231,21,185,10.2,-1.655,-382.27
5.25,10.0,1.9,231,46,161,22.2,-1.66,-383.54
4.0,14.0,3.5,231,22,184,10.7,-1.668,-385.27
5.0,12.0,2.4,231,36,169,17.6,-1.672,-386.31
5.5,9.5,1.73,231,50,157,24.2,-1.674,-386.79
4.5,12.5,2.78,231,30,177,14.5,-1.683,-388.85
5.0,11.0,2.2,231,38,167,18.5,-1.69,-390.31
5.0,10.5,2.1,231,39,166,19.0,-1.705,-393.81
5.25,11.5,2.19,231,39,165,19.1,-1.705,-393.93
4.75,11.5,2.42,231,34,173,16.4,-1.723,-398.1
4.5,14.0,3.11,231,26,179,12.7,-1.741,-402.12
4.75,13.5,2.84,231,30,177,14.5,-1.745,-403.1
5.0,12.5,2.5,231,34,171,16.6,-1.746,-403.31
5.75,9.0,1.57,231,54,154,26.0,-1.751,-404.38
5.0,13.5,2.7,231,32,173,15.6,-1.759,-406.31
4.5,14.5,3.22,231,25,180,12.2,-1.767,-408.12
5.5,10.0,1.82,231,47,160,22.7,-1.767,-408.29
5.25,12.0,2.29,231,37,167,18.1,-1.77,-408.93
5.75,9.5,1.65,231,51,156,24.6,-1.778,-410.79
5.25,11.0,2.1,231,39,165,19.1,-1.79,-413.43
4.75,12.0,2.53,231,32,175,15.5,-1.795,-414.6
4.5,15.0,3.33,231,24,181,11.7,-1.797,-415.12
4.75,11.0,2.32,231,34,173,16.4,-1.797,-415.1
4.75,10.5,2.21,231,35,172,16.9,-1.805,-416.85
5.25,10.5,2.0,231,40,164,19.6,-1.806,-417.18
4.75,13.0,2.74,231,30,177,14.5,-1.81,-418.1
5.5,11.5,2.09,231,40,164,19.6,-1.81,-418.18
5.0,13.0,2.6,231,32,173,15.6,-1.828,-422.31
5.25,12.5,2.38,231,35,169,17.2,-1.844,-425.93
6.0,9.0,1.5,231,55,153,26.4,-1.852,-427.88
5.25,13.5,2.57,231,33,171,16.2,-1.855,-428.43
5.75,10.0,1.74,231,48,159,23.2,-1.872,-432.54
4.75,12.5,2.63,231,30,177,14.5,-1.875,-433.1
5.5,12.0,2.18,231,38,166,18.6,-1.875,-433.18
6.0,9.5,1.58,231,52,155,25.1,-1.88,-434.29
5.5,11.0,2.0,231,40,164,19.6,-1.897,-438.18
5.75,11.5,2.0,231,41,163,20.1,-1.913,-441.93
5.5,10.5,1.91,231,41,163,20.1,-1.914,-442.18
5.25,13.0,2.48,231,33,171,16.2,-1.926,-444.93
4.75,14.0,2.95,231,26,179,12.7,-1.935,-446.87
5.0,14.0,2.8,231,28,175,13.8,-1.946,-449.58
5.5,12.5,2.27,231,36,168,17.6,-1.949,-450.18
5.5,13.5,2.45,231,34,170,16.7,-1.957,-452.18
4.75,14.5,3.05,231,25,180,12.2,-1.962,-453.12
5.0,14.5,2.9,231,27,176,13.3,-1.97,-455.08
6.0,10.0,1.67,231,49,158,23.7,-1.975,-456.29
5.75,12.0,2.09,231,39,165,19.1,-1.978,-456.93
4.75,15.0,3.16,231,24,181,11.7,-1.993,-460.37
5.0,15.0,3.0,231,26,177,12.8,-1.998,-461.58
5.75,11.0,1.91,231,41,163,20.1,-2.002,-462.43
6.0,11.5,1.92,231,42,162,20.6,-2.014,-465.18
5.75,10.5,1.83,231,42,162,20.6,-2.02,-466.68
5.5,13.0,2.36,231,34,170,16.7,-2.031,-469.18
5.25,14.0,2.67,231,29,173,14.4,-2.042,-471.7
5.75,12.5,2.17,231,37,167,18.1,-2.052,-473.93
5.75,13.5,2.35,231,35,169,17.2,-2.058,-475.43
6.0,12.0,2.0,231,40,164,19.6,-2.079,-480.18
6.0,11.0,1.83,231,42,162,20.6,-2.105,-486.18
6.0,10.5,1.75,231,43,161,21.1,-2.124,-490.68
5.75,13.0,2.26,231,35,169,17.2,-2.134,-492.93
5.5,14.0,2.55,231,30,172,14.9,-2.145,-495.45
5.25,14.5,2.76,231,27,175,13.4,-2.15,-496.7
6.0,12.5,2.08,231,38,166,18.6,-2.152,-497.18
5.25,15.0,2.86,231,26,176,12.9,-2.179,-503.45
6.0,13.0,2.17,231,36,168,17.6,-2.235,-516.18
6.0,13.5,2.25,231,35,169,17.2,-2.241,-517.68
5.75,14.0,2.43,231,31,171,15.3,-2.245,-518.7
5.5,14.5,2.64,231,28,174,13.9,-2.253,-520.45
5.5,15.0,2.73,231,27,175,13.4,-2.281,-526.95
5.75,14.5,2.52,231,29,173,14.4,-2.354,-543.7
5.75,15.0,2.61,231,28,174,13.9,-2.381,-549.95
6.0,14.0,2.33,231,31,171,15.3,-2.431,-561.45
6.0,14.5,2.42,231,29,173,14.4,-2.541,-586.95
6.0,15.0,2.5,231,28,174,13.9,-2.569,-593.45
