SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
1.0,5.0,5.0,128,12,115,1,9.4,-0.416,-53.27,4.75,-1.0,-0.416,0.54,-52.27,-1.02
1.0,5.5,5.5,128,12,115,1,9.4,-0.369,-47.27,5.21,-1.0,-0.369,0.59,-46.27,-1.02
1.0,6.0,6.0,128,8,119,1,6.3,-0.541,-69.27,5.53,-1.0,-0.541,0.42,-68.27,-1.01
1.0,6.5,6.5,128,8,119,1,6.3,-0.51,-65.27,5.97,-1.0,-0.51,0.45,-64.27,-1.02
1.0,7.0,7.0,128,6,120,2,4.8,-0.582,-74.47,5.69,-1.0,-0.582,0.38,-73.47,-1.01
1.0,7.5,7.5,128,5,120,3,4.0,-0.601,-76.97,5.38,-1.0,-0.601,0.36,-75.97,-1.01
1.0,8.0,8.0,128,5,120,3,4.0,-0.582,-74.47,5.69,-1.0,-0.582,0.38,-73.47,-1.01
1.0,8.5,8.5,128,4,121,3,3.2,-0.636,-81.47,5.65,-1.0,-0.636,0.33,-80.47,-1.01
1.0,9.0,9.0,128,4,121,3,3.2,-0.621,-79.47,5.93,-1.0,-0.621,0.34,-78.47,-1.01
1.0,9.5,9.5,128,4,121,3,3.2,-0.605,-77.47,6.22,-1.0,-0.605,0.36,-76.47,-1.01
1.0,10.0,10.0,128,3,122,3,2.4,-0.676,-86.47,5.92,-1.0,-0.676,0.29,-85.47,-1.01
1.0,10.5,10.5,128,2,123,3,1.6,-0.754,-96.47,5.31,-1.0,-0.754,0.22,-95.47,-1.01
1.0,11.0,11.0,128,2,123,3,1.6,-0.746,-95.47,5.51,-1.0,-0.746,0.22,-94.47,-1.01
1.0,11.5,11.5,128,2,123,3,1.6,-0.738,-94.47,5.71,-1.0,-0.738,0.23,-93.47,-1.01
1.0,12.0,12.0,128,2,123,3,1.6,-0.73,-93.47,5.91,-1.0,-0.73,0.24,-92.47,-1.01
1.0,12.5,12.5,128,2,123,3,1.6,-0.722,-92.47,6.11,-1.0,-0.722,0.25,-91.47,-1.01
1.0,13.0,13.0,128,2,123,3,1.6,-0.715,-91.47,6.31,-1.0,-0.715,0.26,-90.47,-1.01
1.0,13.5,13.5,128,2,123,3,1.6,-0.707,-90.47,6.51,-1.0,-0.707,0.26,-89.47,-1.01
1.0,14.0,14.0,128,0,123,5,0.0,-0.865,-110.74,2.45,-1.0,-0.865,0.1,-109.74,-1.01
1.0,14.5,14.5,128,0,123,5,0.0,-0.865,-110.74,2.45,-1.0,-0.865,0.1,-109.74,-1.01
1.0,15.0,15.0,128,0,123,5,0.0,-0.865,-110.74,2.45,-1.0,-0.865,0.1,-109.74,-1.01
1.25,1.5,1.2,128,42,86,0,32.8,-0.348,-44.5,1.5,-1.25,-0.348,0.59,-43.25,-1.03
1.25,2.0,1.6,128,30,98,0,23.4,-0.488,-62.5,2.0,-1.25,-0.488,0.49,-61.25,-1.02
1.25,2.5,2.0,128,21,107,0,16.4,-0.635,-81.25,2.5,-1.25,-0.635,0.39,-80.0,-1.02
1.25,3.0,2.4,128,19,109,0,14.8,-0.619,-79.25,3.0,-1.25,-0.619,0.42,-78.0,-1.02
1.25,3.5,2.8,128,17,111,0,13.3,-0.619,-79.25,3.5,-1.25,-0.619,0.43,-78.0,-1.02
1.25,4.0,3.2,128,17,111,0,13.3,-0.553,-70.75,4.0,-1.25,-0.553,0.49,-69.5,-1.02
1.25,4.5,3.6,128,15,112,1,11.8,-0.553,-70.77,4.33,-1.25,-0.553,0.49,-69.52,-1.02
1.25,5.0,4.0,128,13,114,1,10.2,-0.592,-75.77,4.77,-1.25,-0.592,0.47,-74.52,-1.02
1.25,5.5,4.4,128,13,114,1,10.2,-0.541,-69.27,5.23,-1.25,-0.541,0.51,-68.02,-1.02
1.25,6.0,4.8,128,9,118,1,7.1,-0.717,-91.77,5.57,-1.25,-0.717,0.38,-90.52,-1.01
1.25,6.5,5.2,128,9,118,1,7.1,-0.682,-87.27,6.02,-1.25,-0.682,0.41,-86.02,-1.01
1.25,7.0,5.6,128,7,119,2,5.6,-0.752,-96.22,5.84,-1.25,-0.752,0.35,-94.97,-1.01
