Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1d,EMA10/EMA20,1.0,4.0,4.0,229,45,183,19.7,-0.013,-3.0
1d,EMA10/EMA20,1.0,5.0,5.0,229,37,191,16.2,-0.026,-6.0
1d,EMA10/EMA20,1.0,4.5,4.5,229,40,188,17.5,-0.035,-8.0
1d,EMA10/EMA20,1.0,3.5,3.5,229,48,180,21.1,-0.052,-12.0
1d,EMA10/EMA20,1.0,2.5,2.5,229,59,169,25.9,-0.094,-21.5
1d,EMA10/EMA20,1.0,5.5,5.5,229,31,197,13.6,-0.116,-26.5
1d,EMA10/EMA20,1.0,3.0,3.0,229,50,178,21.9,-0.122,-28.0
1d,EMA10/EMA20,1.5,4.0,2.67,229,57,171,25.0,-0.124,-28.5
1d,EMA10/EMA20,1.0,2.0,2.0,229,66,162,28.9,-0.131,-30.0
1d,EMA10/EMA20,3.5,4.0,1.14,229,102,126,44.7,-0.144,-33.0
1d,EMA10/EMA20,1.5,4.5,3.0,229,51,177,22.4,-0.157,-36.0
1d,EMA10/EMA20,1.5,3.5,2.33,229,61,167,26.8,-0.162,-37.0
1d,EMA10/EMA20,1.5,2.0,1.33,229,87,141,38.2,-0.164,-37.5
1d,EMA10/EMA20,1.0,6.0,6.0,229,27,201,11.8,-0.17,-39.0
1d,EMA10/EMA20,1.5,2.5,1.67,229,75,153,32.9,-0.183,-42.0
1d,EMA10/EMA20,1.5,5.0,3.33,229,46,182,20.2,-0.188,-43.0
1d,EMA10/EMA20,1.5,3.0,2.0,229,65,163,28.5,-0.216,-49.5
1d,EMA10/EMA20,2.0,2.5,1.25,229,90,138,39.5,-0.223,-51.0
1d,EMA10/EMA20,2.5,3.0,1.2,229,93,135,40.8,-0.255,-58.5
1d,EMA10/EMA20,2.5,4.0,1.6,229,78,150,34.2,-0.275,-63.0
1d,EMA10/EMA20,2.0,3.0,1.5,229,78,150,34.2,-0.288,-66.0
1d,EMA10/EMA20,2.0,4.0,2.0,229,65,163,28.5,-0.288,-66.0
1d,EMA10/EMA20,1.0,7.5,7.5,229,19,209,8.3,-0.29,-66.5
1d,EMA10/EMA20,1.0,6.5,6.5,229,21,207,9.2,-0.308,-70.5
1d,EMA10/EMA20,2.0,4.5,2.25,229,59,169,25.9,-0.317,-72.5
1d,EMA10/EMA20,1.0,8.0,8.0,229,17,211,7.5,-0.328,-75.0
1d,EMA10/EMA20,1.0,8.5,8.5,229,16,212,7.0,-0.332,-76.0
1d,EMA10/EMA20,1.0,7.0,7.0,229,19,209,8.3,-0.332,-76.0
1d,EMA10/EMA20,2.0,3.5,1.75,229,69,159,30.3,-0.334,-76.5
1d,EMA10/EMA20,2.5,3.5,1.4,229,82,146,36.0,-0.341,-78.0
1d,EMA10/EMA20,2.0,5.0,2.5,229,53,175,23.2,-0.371,-85.0
1d,EMA10/EMA20,2.5,4.5,1.8,229,69,159,30.3,-0.38,-87.0
1d,EMA10/EMA20,1.0,1.5,1.5,229,76,148,33.9,-0.39,-89.38
1d,EMA10/EMA20,4.0,5.0,1.25,229,91,137,39.9,-0.406,-93.0
1d,EMA10/EMA20,1.5,5.5,3.67,229,35,193,15.4,-0.424,-97.0
1d,EMA10/EMA20,2.5,5.0,2.0,229,63,165,27.6,-0.426,-97.5
1d,EMA10/EMA20,3.5,5.0,1.43,229,82,146,36.0,-0.441,-101.0
1d,EMA10/EMA20,3.0,4.0,1.33,229,83,145,36.4,-0.45,-103.0
1d,EMA10/EMA20,4.0,4.5,1.12,229,95,133,41.7,-0.456,-104.5
1d,EMA10/EMA20,4.5,5.0,1.11,229,97,131,42.5,-0.456,-104.5
1d,EMA10/EMA20,3.0,3.5,1.17,229,89,139,39.0,-0.461,-105.5
1d,EMA10/EMA20,1.0,9.0,9.0,229,12,216,5.3,-0.472,-108.0
1d,EMA10/EMA20,1.5,6.0,4.0,229,31,197,13.6,-0.478,-109.5
1d,EMA10/EMA20,3.5,4.5,1.29,229,86,142,37.7,-0.48,-110.0
1d,EMA10/EMA20,1.0,10.0,10.0,229,10,218,4.4,-0.515,-118.0
1d,EMA10/EMA20,1.0,9.5,9.5,229,10,218,4.4,-0.537,-123.0
1d,EMA10/EMA20,1.5,7.5,5.0,229,24,204,10.5,-0.55,-126.0
1d,EMA10/EMA20,1.5,6.5,4.33,229,26,202,11.4,-0.585,-134.0
1d,EMA10/EMA20,1.5,7.0,4.67,229,24,204,10.5,-0.603,-138.0
1d,EMA10/EMA20,3.0,4.5,1.5,229,72,156,31.6,-0.629,-144.0
1d,EMA10/EMA20,1.0,10.5,10.5,229,7,221,3.1,-0.644,-147.5
1d,EMA10/EMA20,1.5,8.5,5.67,229,19,209,8.3,-0.664,-152.0
1d,EMA10/EMA20,1.5,8.0,5.33,229,20,208,8.8,-0.664,-152.0
1d,EMA10/EMA20,2.0,5.5,2.75,229,40,188,17.5,-0.681,-156.0
1d,EMA10/EMA20,3.0,5.0,1.67,229,66,162,28.9,-0.681,-156.0
1d,EMA10/EMA20,1.0,12.0,12.0,229,5,223,2.2,-0.712,-163.0
1d,EMA10/EMA20,1.0,11.5,11.5,229,5,223,2.2,-0.723,-165.5
1d,EMA10/EMA20,2.0,6.0,3.0,229,36,192,15.8,-0.734,-168.0
1d,EMA10/EMA20,1.0,11.0,11.0,229,5,223,2.2,-0.734,-168.0
1d,EMA10/EMA20,2.5,5.5,2.2,229,50,178,21.9,-0.742,-170.0
1d,EMA10/EMA20,2.5,6.0,2.4,229,47,181,20.6,-0.745,-170.5
1d,EMA10/EMA20,2.5,7.5,3.0,229,39,189,17.1,-0.786,-180.0
1d,EMA10/EMA20,4.0,5.5,1.38,229,77,151,33.8,-0.788,-180.5
1d,EMA10/EMA20,2.0,7.5,3.75,229,29,199,12.7,-0.788,-180.5
1d,EMA10/EMA20,1.5,10.0,6.67,229,14,214,6.1,-0.79,-181.0
1d,EMA10/EMA20,2.0,6.5,3.25,229,32,196,14.0,-0.803,-184.0
1d,EMA10/EMA20,1.5,9.0,6.0,229,15,213,6.6,-0.806,-184.5
1d,EMA10/EMA20,3.5,5.5,1.57,229,68,160,29.8,-0.812,-186.0
1d,EMA10/EMA20,1.5,9.5,6.33,229,14,214,6.1,-0.821,-188.0
1d,EMA10/EMA20,2.5,6.5,2.6,229,42,186,18.4,-0.838,-192.0
1d,EMA10/EMA20,2.0,7.0,3.5,229,29,199,12.7,-0.852,-195.0
1d,EMA10/EMA20,5.0,5.5,1.1,229,90,138,39.5,-0.852,-195.0
1d,EMA10/EMA20,2.5,8.5,3.4,229,34,194,14.9,-0.856,-196.0
1d,EMA10/EMA20,4.5,5.5,1.22,229,83,145,36.4,-0.856,-196.0
1d,EMA10/EMA20,4.5,7.5,1.67,229,69,159,30.3,-0.865,-198.0
1d,EMA10/EMA20,4.0,7.5,1.88,229,62,166,27.2,-0.869,-199.0
1d,EMA10/EMA20,2.5,7.0,2.8,229,39,189,17.1,-0.871,-199.5
1d,EMA10/EMA20,2.5,8.0,3.2,229,35,193,15.4,-0.884,-202.5
1d,EMA10/EMA20,2.0,8.5,4.25,229,24,204,10.5,-0.891,-204.0
1d,EMA10/EMA20,2.0,8.0,4.0,229,25,203,11.0,-0.9,-206.0
1d,EMA10/EMA20,3.0,5.5,1.83,229,56,172,24.6,-0.908,-208.0
1d,EMA10/EMA20,1.5,10.5,7.0,229,11,217,4.8,-0.917,-210.0
1d,EMA10/EMA20,4.0,6.0,1.5,229,70,158,30.7,-0.926,-212.0
1d,EMA10/EMA20,5.0,7.5,1.5,229,74,154,32.5,-0.939,-215.0
1d,EMA10/EMA20,3.5,7.5,2.14,229,53,175,23.2,-0.939,-215.0
1d,EMA10/EMA20,5.0,6.0,1.2,229,84,144,36.8,-0.943,-216.0
1d,EMA10/EMA20,4.0,8.0,2.0,229,58,170,25.4,-0.943,-216.0
1d,EMA10/EMA20,4.5,6.0,1.33,229,77,151,33.8,-0.95,-217.5
1d,EMA10/EMA20,3.5,6.0,1.71,229,61,167,26.8,-0.954,-218.5
1d,EMA10/EMA20,1.5,12.0,8.0,229,9,219,3.9,-0.963,-220.5
1d,EMA10/EMA20,3.5,8.5,2.43,229,48,180,21.1,-0.969,-222.0
1d,EMA10/EMA20,1.5,11.5,7.67,229,9,219,3.9,-0.983,-225.0
1d,EMA10/EMA20,2.5,9.0,3.6,229,30,198,13.2,-0.983,-225.0
1d,EMA10/EMA20,2.0,9.0,4.5,229,21,207,9.2,-0.983,-225.0
1d,EMA10/EMA20,2.0,9.5,4.75,229,20,208,8.8,-0.987,-226.0
1d,EMA10/EMA20,4.5,8.0,1.78,229,64,164,28.1,-0.987,-226.0
1d,EMA10/EMA20,2.0,10.0,5.0,229,19,209,8.3,-0.996,-228.0
1d,EMA10/EMA20,1.5,11.0,7.33,229,9,219,3.9,-1.002,-229.5
1d,EMA10/EMA20,4.0,6.5,1.62,229,65,163,28.5,-1.002,-229.5
1d,EMA10/EMA20,4.0,7.0,1.75,229,62,166,27.2,-1.004,-230.0
1d,EMA10/EMA20,5.0,6.5,1.3,229,79,149,34.6,-1.011,-231.5
1d,EMA10/EMA20,4.5,7.0,1.56,229,69,159,30.3,-1.015,-232.5
1d,EMA10/EMA20,2.5,10.0,4.0,229,27,201,11.8,-1.015,-232.5
1d,EMA10/EMA20,2.5,9.5,3.8,229,28,200,12.3,-1.022,-234.0
1d,EMA10/EMA20,4.5,12.0,2.67,229,48,180,21.1,-1.022,-234.0
1d,EMA10/EMA20,4.5,6.5,1.44,229,72,156,31.6,-1.022,-234.0
1d,EMA10/EMA20,3.5,8.0,2.29,229,49,179,21.5,-1.024,-234.5
1d,EMA10/EMA20,4.0,8.5,2.12,229,54,174,23.7,-1.035,-237.0
1d,EMA10/EMA20,3.5,6.5,1.86,229,56,172,24.6,-1.039,-238.0
1d,EMA10/EMA20,5.0,12.0,2.4,229,53,175,23.2,-1.044,-239.0
1d,EMA10/EMA20,5.0,7.0,1.4,229,75,153,32.9,-1.048,-240.0
1d,EMA10/EMA20,3.5,7.0,2.0,229,53,175,23.2,-1.055,-241.5
1d,EMA10/EMA20,4.5,11.5,2.56,229,49,179,21.5,-1.057,-242.0
1d,EMA10/EMA20,3.0,6.0,2.0,229,49,179,21.5,-1.061,-243.0
1d,EMA10/EMA20,5.0,8.0,1.6,229,69,159,30.3,-1.061,-243.0
1d,EMA10/EMA20,4.5,8.5,1.89,229,60,168,26.3,-1.074,-246.0
1d,EMA10/EMA20,5.0,11.5,2.3,229,54,174,23.7,-1.087,-249.0
1d,EMA10/EMA20,2.5,12.0,4.8,229,22,206,9.6,-1.096,-251.0
1d,EMA10/EMA20,3.0,7.5,2.5,229,41,187,18.0,-1.107,-253.5
1d,EMA10/EMA20,4.0,12.0,3.0,229,41,187,18.0,-1.118,-256.0
1d,EMA10/EMA20,2.0,10.5,5.25,229,16,212,7.0,-1.118,-256.0
1d,EMA10/EMA20,2.5,10.5,4.2,229,24,204,10.5,-1.127,-258.0
1d,EMA10/EMA20,2.0,12.0,6.0,229,14,214,6.1,-1.135,-260.0
1d,EMA10/EMA20,3.5,9.0,2.57,229,43,185,18.9,-1.138,-260.5
1d,EMA10/EMA20,2.5,11.5,4.6,229,22,206,9.6,-1.144,-262.0
1d,EMA10/EMA20,5.0,8.5,1.7,229,65,163,28.5,-1.146,-262.5
1d,EMA10/EMA20,3.5,9.5,2.71,229,41,187,18.0,-1.157,-265.0
1d,EMA10/EMA20,5.5,6.0,1.09,229,86,142,37.7,-1.157,-265.0
1d,EMA10/EMA20,5.5,7.5,1.36,229,76,152,33.3,-1.162,-266.0
1d,EMA10/EMA20,3.0,6.5,2.17,229,44,184,19.3,-1.162,-266.0
1d,EMA10/EMA20,4.5,11.0,2.44,229,49,179,21.5,-1.164,-266.5
1d,EMA10/EMA20,2.0,11.5,5.75,229,14,214,6.1,-1.166,-267.0
1d,EMA10/EMA20,3.0,8.5,2.83,229,36,192,15.8,-1.179,-270.0
1d,EMA10/EMA20,3.5,12.0,3.43,229,34,194,14.9,-1.183,-271.0
1d,EMA10/EMA20,3.5,10.0,2.86,229,39,189,17.1,-1.186,-271.5
1d,EMA10/EMA20,2.5,11.0,4.4,229,22,206,9.6,-1.192,-273.0
1d,EMA10/EMA20,2.0,11.0,5.5,229,14,214,6.1,-1.197,-274.0
1d,EMA10/EMA20,5.5,12.0,2.18,229,56,172,24.6,-1.197,-274.0
1d,EMA10/EMA20,3.0,7.0,2.33,229,41,187,18.0,-1.197,-274.0
1d,EMA10/EMA20,4.0,9.0,2.25,229,49,179,21.5,-1.201,-275.0
1d,EMA10/EMA20,5.0,11.0,2.2,229,54,174,23.7,-1.205,-276.0
1d,EMA10/EMA20,4.5,10.5,2.33,229,50,178,21.9,-1.205,-276.0
1d,EMA10/EMA20,4.0,11.5,2.88,229,41,187,18.0,-1.207,-276.5
1d,EMA10/EMA20,3.0,8.0,2.67,229,37,191,16.2,-1.21,-277.0
1d,EMA10/EMA20,4.0,9.5,2.38,229,47,181,20.6,-1.212,-277.5
1d,EMA10/EMA20,5.5,6.5,1.18,229,81,147,35.5,-1.231,-282.0
1d,EMA10/EMA20,4.0,10.0,2.5,229,45,183,19.7,-1.231,-282.0
1d,EMA10/EMA20,4.5,9.0,2.0,229,55,173,24.1,-1.238,-283.5
1d,EMA10/EMA20,4.5,9.5,2.11,229,53,175,23.2,-1.24,-284.0
1d,EMA10/EMA20,5.5,11.5,2.09,229,57,171,25.0,-1.245,-285.0
1d,EMA10/EMA20,4.5,10.0,2.22,229,51,177,22.4,-1.251,-286.5
1d,EMA10/EMA20,5.0,10.5,2.1,229,55,173,24.1,-1.255,-287.5
1d,EMA10/EMA20,3.5,11.5,3.29,229,34,194,14.9,-1.258,-288.0
1d,EMA10/EMA20,4.0,10.5,2.62,229,43,185,18.9,-1.26,-288.5
1d,EMA10/EMA20,5.5,7.0,1.27,229,77,151,33.8,-1.273,-291.5
1d,EMA10/EMA20,3.5,10.5,3.0,229,36,192,15.8,-1.284,-294.0
1d,EMA10/EMA20,5.5,8.0,1.45,229,71,157,31.1,-1.29,-295.5
1d,EMA10/EMA20,4.0,11.0,2.75,229,41,187,18.0,-1.297,-297.0
1d,EMA10/EMA20,5.0,9.5,1.9,229,58,170,25.4,-1.306,-299.0
1d,EMA10/EMA20,5.0,9.0,1.8,229,60,168,26.3,-1.31,-300.0
1d,EMA10/EMA20,5.0,10.0,2.0,229,56,172,24.6,-1.31,-300.0
1d,EMA10/EMA20,3.5,11.0,3.14,229,34,194,14.9,-1.332,-305.0
1d,EMA10/EMA20,3.0,9.0,3.0,229,31,197,13.6,-1.362,-312.0
1d,EMA10/EMA20,5.5,11.0,2.0,229,57,171,25.0,-1.369,-313.5
1d,EMA10/EMA20,5.5,8.5,1.55,229,67,161,29.4,-1.38,-316.0
1d,EMA10/EMA20,3.0,10.0,3.33,229,28,200,12.3,-1.397,-320.0
1d,EMA10/EMA20,3.0,9.5,3.17,229,29,199,12.7,-1.404,-321.5
1d,EMA10/EMA20,6.0,12.0,2.0,229,58,170,25.4,-1.415,-324.0
1d,EMA10/EMA20,5.5,10.5,1.91,229,58,170,25.4,-1.424,-326.0
1d,EMA10/EMA20,6.0,7.5,1.25,229,77,151,33.8,-1.434,-328.5
1d,EMA10/EMA20,6.0,11.5,1.92,229,59,169,25.9,-1.465,-335.5
1d,EMA10/EMA20,5.5,9.5,1.73,229,61,167,26.8,-1.48,-339.0
1d,EMA10/EMA20,3.0,12.0,4.0,229,23,205,10.1,-1.48,-339.0
1d,EMA10/EMA20,5.5,10.0,1.82,229,59,169,25.9,-1.483,-339.5
1d,EMA10/EMA20,5.5,9.0,1.64,229,63,165,27.6,-1.487,-340.5
1d,EMA10/EMA20,6.0,6.5,1.08,229,82,146,36.0,-1.498,-343.0
1d,EMA10/EMA20,3.0,10.5,3.5,229,25,203,11.0,-1.513,-346.5
1d,EMA10/EMA20,3.0,11.5,3.83,229,23,205,10.1,-1.531,-350.5
1d,EMA10/EMA20,6.0,7.0,1.17,229,78,150,34.2,-1.546,-354.0
1d,EMA10/EMA20,6.0,8.0,1.33,229,72,156,31.6,-1.572,-360.0
1d,EMA10/EMA20,3.0,11.0,3.67,229,23,205,10.1,-1.581,-362.0
1d,EMA10/EMA20,6.0,11.0,1.83,229,59,169,25.9,-1.594,-365.0
1d,EMA10/EMA20,6.0,10.5,1.75,229,60,168,26.3,-1.651,-378.0
1d,EMA10/EMA20,6.0,8.5,1.42,229,68,160,29.8,-1.668,-382.0
1d,EMA10/EMA20,6.0,9.5,1.58,229,63,165,27.6,-1.71,-391.5
1d,EMA10/EMA20,6.0,10.0,1.67,229,61,167,26.8,-1.712,-392.0
1d,EMA10/EMA20,6.0,9.0,1.5,229,65,163,28.5,-1.716,-393.0
1d,EMA21/EMA50,1.0,6.0,6.0,141,29,112,20.6,0.44,62.0
1d,EMA21/EMA50,3.5,4.0,1.14,141,74,67,52.5,0.436,61.5
1d,EMA21/EMA50,1.0,5.5,5.5,141,31,110,22.0,0.429,60.5
1d,EMA21/EMA50,1.0,7.5,7.5,141,23,118,16.3,0.387,54.5
1d,EMA21/EMA50,1.0,5.0,5.0,141,32,109,22.7,0.362,51.0
1d,EMA21/EMA50,1.0,6.5,6.5,141,25,116,17.7,0.33,46.5
1d,EMA21/EMA50,1.0,4.5,4.5,141,34,107,24.1,0.326,46.0
1d,EMA21/EMA50,2.5,4.0,1.6,141,61,80,43.3,0.312,44.0
1d,EMA21/EMA50,1.0,7.0,7.0,141,23,118,16.3,0.305,43.0
1d,EMA21/EMA50,1.0,4.0,4.0,141,36,105,25.5,0.277,39.0
1d,EMA21/EMA50,1.0,8.0,8.0,141,20,121,14.2,0.277,39.0
1d,EMA21/EMA50,3.0,4.0,1.33,141,66,75,46.8,0.277,39.0
1d,EMA21/EMA50,3.0,3.5,1.17,141,71,70,50.4,0.273,38.5
1d,EMA21/EMA50,2.5,3.5,1.4,141,65,76,46.1,0.266,37.5
1d,EMA21/EMA50,2.5,7.5,3.0,141,39,102,27.7,0.266,37.5
1d,EMA21/EMA50,3.0,5.5,1.83,141,54,87,38.3,0.255,36.0
1d,EMA21/EMA50,3.5,4.5,1.29,141,66,75,46.8,0.245,34.5
1d,EMA21/EMA50,1.0,3.5,3.5,141,39,102,27.7,0.245,34.5
1d,EMA21/EMA50,1.5,4.5,3.0,141,41,100,29.1,0.245,34.5
1d,EMA21/EMA50,2.5,4.5,1.8,141,55,86,39.0,0.23,32.5
1d,EMA21/EMA50,1.5,7.5,5.0,141,27,114,19.1,0.223,31.5
1d,EMA21/EMA50,1.0,8.5,8.5,141,18,123,12.8,0.213,30.0
1d,EMA21/EMA50,1.5,6.0,4.0,141,32,109,22.7,0.202,28.5
1d,EMA21/EMA50,3.5,5.5,1.57,141,58,83,41.1,0.202,28.5
1d,EMA21/EMA50,3.0,7.5,2.5,141,43,98,30.5,0.202,28.5
1d,EMA21/EMA50,2.5,3.0,1.2,141,69,72,48.9,0.191,27.0
1d,EMA21/EMA50,3.0,6.0,2.0,141,50,91,35.5,0.191,27.0
1d,EMA21/EMA50,3.0,4.5,1.5,141,60,81,42.6,0.191,27.0
1d,EMA21/EMA50,1.5,5.5,3.67,141,34,107,24.1,0.188,26.5
1d,EMA21/EMA50,1.5,4.0,2.67,141,43,98,30.5,0.177,25.0
1d,EMA21/EMA50,3.5,5.0,1.43,141,61,80,43.3,0.177,25.0
1d,EMA21/EMA50,2.5,5.5,2.2,141,47,94,33.3,0.167,23.5
1d,EMA21/EMA50,1.5,3.5,2.33,141,47,94,33.3,0.167,23.5
1d,EMA21/EMA50,2.0,4.5,2.25,141,47,94,33.3,0.167,23.5
1d,EMA21/EMA50,3.5,7.5,2.14,141,47,94,33.3,0.167,23.5
1d,EMA21/EMA50,2.5,5.0,2.0,141,50,91,35.5,0.16,22.5
1d,EMA21/EMA50,1.5,5.0,3.33,141,36,105,25.5,0.16,22.5
1d,EMA21/EMA50,2.0,7.5,3.75,141,32,109,22.7,0.156,22.0
1d,EMA21/EMA50,2.5,6.0,2.4,141,44,97,31.2,0.152,21.5
1d,EMA21/EMA50,1.5,6.5,4.33,141,29,112,20.6,0.145,20.5
1d,EMA21/EMA50,1.0,2.5,2.5,141,46,95,32.6,0.142,20.0
1d,EMA21/EMA50,3.5,6.0,1.71,141,54,87,38.3,0.138,19.5
1d,EMA21/EMA50,1.0,3.0,3.0,141,40,101,28.4,0.135,19.0
1d,EMA21/EMA50,1.5,7.0,4.67,141,27,114,19.1,0.128,18.0
1d,EMA21/EMA50,2.5,7.0,2.8,141,39,102,27.7,0.128,18.0
1d,EMA21/EMA50,3.0,5.0,1.67,141,55,86,39.0,0.121,17.0
1d,EMA21/EMA50,2.5,6.5,2.6,141,41,100,29.1,0.117,16.5
1d,EMA21/EMA50,1.5,8.0,5.33,141,24,117,17.0,0.117,16.5
1d,EMA21/EMA50,2.0,2.5,1.25,141,66,75,46.8,0.106,15.0
1d,EMA21/EMA50,3.0,6.5,2.17,141,46,95,32.6,0.099,14.0
1d,EMA21/EMA50,1.5,2.5,1.67,141,56,85,39.7,0.089,12.5
1d,EMA21/EMA50,2.0,4.0,2.0,141,49,92,34.8,0.085,12.0
1d,EMA21/EMA50,2.0,5.0,2.5,141,42,99,29.8,0.085,12.0
1d,EMA21/EMA50,2.0,5.5,2.75,141,39,102,27.7,0.074,10.5
1d,EMA21/EMA50,2.0,3.5,1.75,141,53,88,37.6,0.067,9.5
1d,EMA21/EMA50,1.5,3.0,2.0,141,49,92,34.8,0.064,9.0
1d,EMA21/EMA50,1.5,8.5,5.67,141,22,119,15.6,0.06,8.5
1d,EMA21/EMA50,2.0,6.5,3.25,141,34,107,24.1,0.05,7.0
1d,EMA21/EMA50,3.0,7.0,2.33,141,43,98,30.5,0.05,7.0
1d,EMA21/EMA50,3.5,6.5,1.86,141,50,91,35.5,0.046,6.5
1d,EMA21/EMA50,2.0,7.0,3.5,141,32,109,22.7,0.043,6.0
1d,EMA21/EMA50,2.0,6.0,3.0,141,36,105,25.5,0.043,6.0
1d,EMA21/EMA50,4.0,4.5,1.12,141,67,74,47.5,0.039,5.5
1d,EMA21/EMA50,2.5,8.0,3.2,141,34,107,24.1,0.032,4.5
1d,EMA21/EMA50,1.0,2.0,2.0,141,48,93,34.0,0.021,3.0
1d,EMA21/EMA50,2.0,3.0,1.5,141,57,84,40.4,0.021,3.0
1d,EMA21/EMA50,1.5,2.0,1.33,141,61,80,43.3,0.014,2.0
1d,EMA21/EMA50,3.5,8.0,2.29,141,43,98,30.5,0.007,1.0
1d,EMA21/EMA50,3.5,7.0,2.0,141,47,94,33.3,0.0,0.0
