Timeframe,EMA Pair,SL %,Target %,R:R,Total,Target Hit,SL Hit,Win Rate %,Avg PnL %,Total PnL %
1h,EMA10/EMA20,4.0,11.5,2.88,128,2,104,1.9,-2.665,-341.11
1h,EMA10/EMA20,4.0,11.0,2.75,128,2,104,1.9,-2.673,-342.11
1h,EMA10/EMA20,4.0,10.5,2.62,128,2,104,1.9,-2.681,-343.11
1h,EMA10/EMA20,5.0,8.0,1.6,128,18,98,15.5,-2.758,-353.02
1h,EMA10/EMA20,5.5,6.5,1.18,128,26,93,21.8,-2.816,-360.48
1h,EMA10/EMA20,5.5,7.0,1.27,128,24,93,20.5,-2.828,-361.97
1h,EMA10/EMA20,4.5,10.0,2.22,128,6,101,5.6,-2.836,-363.02
1h,EMA10/EMA20,5.5,7.5,1.36,128,22,94,19.0,-2.879,-368.47
1h,EMA10/EMA20,5.5,6.0,1.09,128,26,93,21.8,-2.918,-373.48
1h,EMA10/EMA20,5.0,8.5,1.7,128,13,98,11.7,-2.955,-378.25
1h,EMA10/EMA20,5.0,9.0,1.8,128,12,98,10.9,-2.976,-380.9
1h,EMA10/EMA20,4.5,12.0,2.67,128,2,102,1.9,-2.98,-381.41
1h,EMA10/EMA20,4.5,11.5,2.56,128,2,102,1.9,-2.988,-382.41
1h,EMA10/EMA20,4.5,11.0,2.44,128,2,102,1.9,-2.995,-383.41
1h,EMA10/EMA20,5.0,9.5,1.9,128,9,98,8.4,-3.0,-384.04
1h,EMA10/EMA20,4.5,10.5,2.33,128,2,102,1.9,-3.003,-384.41
1h,EMA10/EMA20,5.5,8.0,1.45,128,18,96,15.8,-3.106,-397.62
1h,EMA10/EMA20,6.0,6.5,1.08,128,26,91,22.2,-3.146,-402.66
1h,EMA10/EMA20,6.0,7.0,1.17,128,24,91,20.9,-3.157,-404.15
1h,EMA10/EMA20,6.0,7.5,1.25,128,22,92,19.3,-3.212,-411.15
1h,EMA10/EMA20,5.0,10.0,2.0,128,6,100,5.7,-3.224,-412.62
1h,EMA10/EMA20,5.5,8.5,1.55,128,13,96,11.9,-3.304,-422.85
1h,EMA10/EMA20,5.5,9.0,1.64,128,12,96,11.1,-3.324,-425.5
1h,EMA10/EMA20,5.5,9.5,1.73,128,9,96,8.6,-3.349,-428.64
1h,EMA10/EMA20,5.0,12.0,2.4,128,2,101,1.9,-3.371,-431.51
1h,EMA10/EMA20,5.0,11.5,2.3,128,2,101,1.9,-3.379,-432.51
1h,EMA10/EMA20,5.0,11.0,2.2,128,2,101,1.9,-3.387,-433.51
1h,EMA10/EMA20,5.0,10.5,2.1,128,2,101,1.9,-3.395,-434.51
1h,EMA10/EMA20,6.0,8.0,1.33,128,18,94,16.1,-3.448,-441.3
1h,EMA10/EMA20,5.5,10.0,1.82,128,6,98,5.8,-3.58,-458.22
1h,EMA10/EMA20,6.0,8.5,1.42,128,13,94,12.1,-3.645,-466.53
1h,EMA10/EMA20,6.0,9.0,1.5,128,12,94,11.3,-3.665,-469.18
1h,EMA10/EMA20,6.0,9.5,1.58,128,9,94,8.7,-3.69,-472.32
1h,EMA10/EMA20,5.5,12.0,2.18,128,2,99,2.0,-3.731,-477.61
1h,EMA10/EMA20,5.5,11.5,2.09,128,2,99,2.0,-3.739,-478.61
1h,EMA10/EMA20,5.5,11.0,2.0,128,2,99,2.0,-3.747,-479.61
1h,EMA10/EMA20,5.5,10.5,1.91,128,2,99,2.0,-3.755,-480.61
1h,EMA10/EMA20,6.0,10.0,1.67,128,6,96,5.9,-3.929,-502.9
1h,EMA10/EMA20,6.0,12.0,2.0,128,2,97,2.0,-4.084,-522.79
