Stock,Timeframe,EMA Pair,Cross Time,Cross Close,EMA21 @ Cross,EMA50 @ Cross,Touch Time,Touch Open,Touch High,Touch Low,Touch Close,EMA21 @ Touch,EMA50 @ Touch,Touch Zone,Candles After Cross,EMA10 @ Cross,EMA20 @ Cross,EMA10 @ Touch,EMA20 @ Touch
HDFCBANK,1h,EMA10/EMA20,2026-03-16 14:15:00,842.9,,,2026-03-18 13:15:00,841.05,844.45,840.45,844.3,,,Between Slow & Fast EMA,13,829.65,829.65,840.65,838.35
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,756.6,,,2026-04-07 09:15:00,766.0,767.95,761.0,767.45,,,Between Slow & Fast EMA,5,748.18,747.69,761.69,756.3
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,756.6,,,2026-04-07 11:15:00,762.85,769.35,761.95,765.95,,,Between Slow & Fast EMA,7,748.18,747.69,762.62,757.77
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,756.6,,,2026-04-09 10:15:00,802.85,804.9,801.0,803.2,,,Between Slow & Fast EMA,20,748.18,747.69,801.98,790.01
HDFCBANK,1h,EMA10/EMA20,2026-04-06 11:15:00,756.6,,,2026-04-10 09:15:00,804.0,811.7,801.05,810.0,,,Between Slow & Fast EMA,26,748.18,747.69,801.87,795.16
ICICIBANK,1h,EMA10/EMA20,2026-01-02 11:15:00,1350.0,,,2026-01-06 09:15:00,1372.0,1410.5,1367.8,1409.7,,,Between Slow & Fast EMA,12,1343.15,1343.09,1373.53,1363.68
ICICIBANK,1h,EMA10/EMA20,2026-01-12 15:15:00,1420.0,,,2026-01-13 09:15:00,1420.0,1424.9,1411.1,1422.7,,,At/Below Slow EMA,1,1413.35,1412.86,1415.05,1413.8
ICICIBANK,1h,EMA10/EMA20,2026-01-12 15:15:00,1420.0,,,2026-01-14 11:15:00,1416.5,1431.8,1416.1,1429.2,,,At/Below Slow EMA,10,1413.35,1412.86,1426.64,1423.46
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,1367.1,,,2026-01-29 10:15:00,1363.8,1367.7,1362.2,1365.4,,,Between Slow & Fast EMA,9,1353.93,1352.96,1364.7,1361.45
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,1367.1,,,2026-01-29 11:15:00,1365.3,1369.0,1364.7,1367.5,,,Between Slow & Fast EMA,10,1353.93,1352.96,1365.21,1362.02
ICICIBANK,1h,EMA10/EMA20,2026-01-27 15:15:00,1367.1,,,2026-01-30 09:15:00,1368.2,1381.9,1368.2,1377.1,,,At/Below Slow EMA,15,1353.93,1352.96,1374.36,1368.89
ICICIBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,1390.1,,,2026-02-06 09:15:00,1396.7,1406.8,1396.7,1403.6,,,Between Slow & Fast EMA,21,1356.0,1354.98,1401.26,1396.45
ICICIBANK,1h,EMA10/EMA20,2026-02-03 09:15:00,1390.1,,,2026-02-06 12:15:00,1395.7,1403.0,1395.0,1401.9,,,At/Below Slow EMA,24,1356.0,1354.98,1400.2,1397.06
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,1399.9,,,2026-02-10 12:15:00,1398.5,1406.9,1396.0,1404.9,,,At/Below Slow EMA,2,1397.77,1397.69,1399.16,1398.44
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,1399.9,,,2026-02-11 11:15:00,1402.5,1407.0,1401.7,1403.8,,,Between Slow & Fast EMA,8,1397.77,1397.69,1402.6,1401.01
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,1399.9,,,2026-02-11 12:15:00,1403.7,1407.7,1401.4,1404.7,,,Between Slow & Fast EMA,9,1397.77,1397.69,1402.98,1401.36
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,1399.9,,,2026-02-11 13:15:00,1404.6,1408.0,1403.4,1407.0,,,Between Slow & Fast EMA,10,1397.77,1397.69,1403.71,1401.9
ICICIBANK,1h,EMA10/EMA20,2026-02-10 10:15:00,1399.9,,,2026-02-12 09:15:00,1406.1,1428.0,1406.1,1423.5,,,Between Slow & Fast EMA,13,1397.77,1397.69,1408.48,1404.96
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,1401.9,,,2026-02-26 10:15:00,1401.5,1407.0,1399.0,1405.5,,,Between Slow & Fast EMA,4,1396.63,1396.29,1399.65,1398.13
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,1401.9,,,2026-02-26 11:15:00,1405.4,1409.0,1400.0,1406.1,,,Between Slow & Fast EMA,5,1396.63,1396.29,1400.83,1398.89
ICICIBANK,1h,EMA10/EMA20,2026-02-25 13:15:00,1401.9,,,2026-02-26 13:15:00,1399.2,1404.5,1398.0,1403.5,,,At/Below Slow EMA,7,1396.63,1396.29,1401.06,1399.34
ICICIBANK,1h,EMA10/EMA20,2026-03-17 11:15:00,1280.3,,,2026-03-18 10:15:00,1272.6,1290.6,1272.0,1289.3,,,At/Below Slow EMA,6,1270.08,1269.03,1280.82,1276.55
ICICIBANK,1h,EMA10/EMA20,2026-03-17 11:15:00,1280.3,,,2026-03-18 15:15:00,1289.1,1293.9,1286.0,1292.0,,,Between Slow & Fast EMA,11,1270.08,1269.03,1287.61,1282.46
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-07 11:15:00,1222.1,1229.0,1221.5,1224.9,,,Between Slow & Fast EMA,4,1218.72,1217.45,1221.89,1219.81
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-07 12:15:00,1224.2,1229.8,1222.5,1225.3,,,Between Slow & Fast EMA,5,1218.72,1217.45,1222.51,1220.33
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-09 10:15:00,1293.8,1298.8,1290.6,1294.8,,,Between Slow & Fast EMA,17,1218.72,1217.45,1291.18,1272.39
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-10 09:15:00,1289.0,1321.1,1288.5,1320.8,,,Between Slow & Fast EMA,23,1218.72,1217.45,1293.12,1281.43
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-13 10:15:00,1309.8,1319.4,1308.8,1317.3,,,Between Slow & Fast EMA,31,1218.72,1217.45,1312.89,1301.7
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-13 11:15:00,1317.2,1330.0,1315.4,1329.9,,,Between Slow & Fast EMA,32,1218.72,1217.45,1315.98,1304.38
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-15 11:15:00,1338.3,1346.5,1338.0,1346.3,,,Between Slow & Fast EMA,39,1218.72,1217.45,1338.26,1325.1
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-17 14:15:00,1341.6,1346.5,1339.2,1346.1,,,At/Below Slow EMA,56,1218.72,1217.45,1342.94,1340.72
ICICIBANK,1h,EMA10/EMA20,2026-04-06 14:15:00,1233.6,,,2026-04-20 13:15:00,1358.1,1359.3,1353.0,1358.5,,,Between Slow & Fast EMA,62,1218.72,1217.45,1354.29,1349.09
ICICIBANK,1h,EMA10/EMA20,2026-05-07 09:15:00,1288.1,,,2026-05-07 15:15:00,1274.0,1279.8,1273.7,1279.0,,,At/Below Slow EMA,6,1269.1,1267.34,1277.49,1273.84
INFY,1h,EMA10/EMA20,2026-01-01 10:15:00,1626.2,,,2026-01-01 11:15:00,1626.0,1638.7,1625.0,1635.4,,,Between Slow & Fast EMA,1,1623.09,1622.76,1625.33,1623.97
INFY,1h,EMA10/EMA20,2026-01-01 10:15:00,1626.2,,,2026-01-01 15:15:00,1629.4,1631.7,1626.9,1629.5,,,Between Slow & Fast EMA,5,1623.09,1622.76,1629.12,1626.8
INFY,1h,EMA10/EMA20,2026-01-22 14:15:00,1663.3,,,2026-01-23 14:15:00,1663.2,1672.1,1662.3,1670.2,,,At/Below Slow EMA,7,1658.08,1657.83,1665.49,1662.84
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,1302.3,,,2026-03-05 12:15:00,1298.1,1302.0,1295.4,1300.7,,,At/Below Slow EMA,8,1297.13,1297.05,1299.67,1299.14
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,1302.3,,,2026-03-05 14:15:00,1297.7,1311.2,1297.0,1303.9,,,At/Below Slow EMA,10,1297.13,1297.05,1300.22,1299.51
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,1302.3,,,2026-03-06 09:15:00,1303.0,1326.5,1303.0,1319.0,,,Between Slow & Fast EMA,12,1297.13,1297.05,1304.39,1301.86
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,1302.3,,,2026-03-06 13:15:00,1307.9,1311.8,1305.4,1310.0,,,Between Slow & Fast EMA,16,1297.13,1297.05,1308.19,1305.06
INFY,1h,EMA10/EMA20,2026-03-04 11:15:00,1302.3,,,2026-03-06 15:15:00,1310.0,1312.4,1306.6,1311.0,,,Between Slow & Fast EMA,18,1297.13,1297.05,1308.95,1306.04
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,1248.5,,,2026-03-23 10:15:00,1248.7,1256.6,1245.7,1249.7,,,At/Below Slow EMA,1,1245.99,1245.82,1246.67,1246.19
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,1248.5,,,2026-03-23 11:15:00,1249.2,1255.0,1243.6,1252.1,,,At/Below Slow EMA,2,1245.99,1245.82,1247.66,1246.75
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,1248.5,,,2026-03-23 13:15:00,1246.4,1258.4,1244.0,1256.3,,,At/Below Slow EMA,4,1245.99,1245.82,1248.98,1247.59
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,1248.5,,,2026-03-25 09:15:00,1270.0,1282.6,1265.1,1281.4,,,At/Below Slow EMA,14,1245.99,1245.82,1275.69,1267.03
INFY,1h,EMA10/EMA20,2026-03-23 09:15:00,1248.5,,,2026-03-27 12:15:00,1278.1,1281.4,1275.3,1280.1,,,At/Below Slow EMA,24,1245.99,1245.82,1280.05,1276.16
INFY,1h,EMA10/EMA20,2026-04-01 10:15:00,1296.0,,,2026-04-01 15:15:00,1276.4,1279.1,1276.3,1278.0,,,Between Slow & Fast EMA,5,1271.39,1270.14,1277.63,1274.84
INFY,1h,EMA10/EMA20,2026-04-02 13:15:00,1294.5,,,2026-04-07 09:15:00,1302.0,1322.4,1294.4,1321.0,,,At/Below Slow EMA,10,1276.58,1274.71,1306.15,1296.94
INFY,1h,EMA10/EMA20,2026-04-02 13:15:00,1294.5,,,2026-04-09 14:15:00,1328.5,1337.3,1325.0,1334.6,,,At/Below Slow EMA,29,1276.58,1274.71,1331.75,1328.15
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-16 14:15:00,1311.1,1324.2,1309.6,1317.2,,,Between Slow & Fast EMA,6,1298.92,1298.33,1310.24,1306.04
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-17 09:15:00,1313.0,1328.3,1306.9,1315.4,,,At/Below Slow EMA,8,1298.92,1298.33,1312.04,1307.79
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-17 11:15:00,1312.6,1318.5,1309.9,1315.1,,,Between Slow & Fast EMA,10,1298.92,1298.33,1312.69,1308.91
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-17 13:15:00,1310.9,1312.8,1308.5,1312.6,,,At/Below Slow EMA,12,1298.92,1298.33,1312.39,1309.42
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-17 14:15:00,1312.7,1319.2,1307.6,1318.7,,,At/Below Slow EMA,13,1298.92,1298.33,1313.54,1310.31
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-20 10:15:00,1311.9,1316.8,1310.0,1316.6,,,At/Below Slow EMA,16,1298.92,1298.33,1314.62,1311.79
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-21 10:15:00,1313.9,1319.8,1312.0,1318.4,,,At/Below Slow EMA,23,1298.92,1298.33,1314.72,1313.27
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-21 11:15:00,1318.2,1324.0,1315.9,1323.3,,,Between Slow & Fast EMA,24,1298.92,1298.33,1316.28,1314.23
INFY,1h,EMA10/EMA20,2026-04-15 15:15:00,1305.0,,,2026-04-21 15:15:00,1312.3,1315.8,1311.8,1314.6,,,At/Below Slow EMA,28,1298.92,1298.33,1314.36,1313.73
INFY,1h,EMA10/EMA20,2026-04-30 14:15:00,1180.9,,,2026-05-04 10:15:00,1178.5,1180.9,1175.3,1178.8,,,At/Below Slow EMA,3,1176.05,1175.6,1177.85,1176.79
RELIANCE,1h,EMA10/EMA20,2026-01-29 12:15:00,1394.8,,,2026-01-29 13:15:00,1394.6,1399.9,1392.0,1398.6,,,At/Below Slow EMA,1,1393.85,1393.75,1394.72,1394.22
RELIANCE,1h,EMA10/EMA20,2026-01-30 15:15:00,1397.0,,,2026-02-01 09:15:00,1396.0,1406.0,1388.0,1404.8,,,At/Below Slow EMA,1,1392.94,1392.78,1395.1,1393.93
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,1443.9,,,2026-02-05 10:15:00,1447.3,1451.8,1443.5,1448.9,,,Between Slow & Fast EMA,15,1391.32,1387.41,1448.2,1436.34
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,1443.9,,,2026-02-06 10:15:00,1437.9,1448.8,1437.5,1448.0,,,At/Below Slow EMA,22,1391.32,1387.41,1444.35,1439.71
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,1443.9,,,2026-02-06 14:15:00,1442.4,1451.4,1440.0,1450.4,,,At/Below Slow EMA,26,1391.32,1387.41,1444.51,1441.22
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,1443.9,,,2026-02-11 10:15:00,1458.0,1465.5,1458.0,1462.6,,,Between Slow & Fast EMA,43,1391.32,1387.41,1459.04,1456.47
RELIANCE,1h,EMA10/EMA20,2026-02-03 09:15:00,1443.9,,,2026-02-11 11:15:00,1462.5,1466.6,1459.9,1466.4,,,Between Slow & Fast EMA,44,1391.32,1387.41,1460.38,1457.42
RELIANCE,1h,EMA10/EMA20,2026-02-24 13:15:00,1427.0,,,2026-02-24 14:15:00,1426.7,1430.7,1422.7,1429.3,,,At/Below Slow EMA,1,1423.22,1422.97,1424.33,1423.57
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,1387.8,,,2026-03-06 15:15:00,1404.8,1409.7,1401.0,1407.0,,,Between Slow & Fast EMA,8,1373.25,1371.84,1402.56,1392.84
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,1387.8,,,2026-03-09 12:15:00,1398.8,1407.9,1397.0,1403.7,,,Between Slow & Fast EMA,12,1373.25,1371.84,1401.33,1395.26
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,1387.8,,,2026-03-09 13:15:00,1403.6,1410.2,1402.3,1408.7,,,Between Slow & Fast EMA,13,1373.25,1371.84,1402.67,1396.54
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,1387.8,,,2026-03-10 13:15:00,1408.3,1415.8,1407.3,1414.0,,,Between Slow & Fast EMA,20,1373.25,1371.84,1410.79,1405.37
RELIANCE,1h,EMA10/EMA20,2026-03-05 14:15:00,1387.8,,,2026-03-10 15:15:00,1408.6,1412.2,1405.7,1410.9,,,At/Below Slow EMA,22,1373.25,1371.84,1410.47,1406.17
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,1397.9,,,2026-03-17 12:15:00,1393.7,1400.8,1388.2,1400.2,,,At/Below Slow EMA,2,1390.65,1390.6,1392.83,1391.77
RELIANCE,1h,EMA10/EMA20,2026-03-17 10:15:00,1397.9,,,2026-03-18 09:15:00,1397.2,1412.1,1397.2,1406.5,,,Between Slow & Fast EMA,6,1390.65,1390.6,1397.69,1395.0
