Variant,SL %,Target %,R:R,Signals,Target Hit,SL Hit,Open,Win Rate %,Avg PnL %,Total PnL %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Max Drawdown %,Calmar
All touches,1.0,1.5,1.5,559,195,353,2,35.6,-0.225,-125.72,1.73,-1.33,-0.23,0.73,-185.26,-0.68
All touches,1.0,2.0,2.0,559,160,397,2,28.7,-0.138,-77.0,2.0,-1.0,-0.141,0.81,-105.0,-0.73
All touches,1.0,2.5,2.5,559,137,420,2,24.6,-0.139,-77.5,2.5,-1.0,-0.142,0.82,-129.5,-0.6
All touches,1.0,3.0,3.0,559,119,438,2,21.4,-0.145,-81.0,3.0,-1.0,-0.148,0.82,-142.0,-0.57
All touches,1.0,3.5,3.5,559,112,445,2,20.1,-0.095,-53.0,3.5,-1.0,-0.098,0.88,-138.5,-0.38
All touches,1.0,4.0,4.0,559,105,452,2,18.9,-0.057,-32.0,4.0,-1.0,-0.061,0.93,-129.0,-0.25
All touches,1.0,4.5,4.5,559,93,463,3,16.7,-0.077,-42.77,4.47,-1.0,-0.08,0.91,-147.0,-0.29
All touches,1.0,5.0,5.0,559,87,469,3,15.6,-0.058,-32.27,4.96,-1.0,-0.061,0.93,-146.0,-0.22
All touches,1.0,5.5,5.5,559,79,476,4,14.2,-0.067,-37.21,5.42,-1.0,-0.07,0.92,-140.0,-0.27
All touches,1.0,6.0,6.0,559,69,486,4,12.4,-0.121,-67.71,5.89,-1.0,-0.125,0.86,-162.0,-0.42
All touches,1.0,6.5,6.5,559,57,498,4,10.3,-0.22,-123.21,6.35,-1.0,-0.224,0.75,-175.0,-0.7
All touches,1.0,7.0,7.0,559,51,503,5,9.2,-0.25,-139.91,6.72,-1.0,-0.254,0.72,-182.2,-0.77
All touches,1.0,7.5,7.5,559,50,503,6,9.0,-0.215,-119.91,7.09,-1.0,-0.218,0.76,-178.7,-0.67
All touches,1.0,8.0,8.0,559,45,508,6,8.1,-0.25,-139.91,7.51,-1.0,-0.254,0.72,-197.2,-0.71
All touches,1.0,8.5,8.5,559,39,514,6,7.1,-0.312,-174.41,7.9,-1.0,-0.316,0.66,-243.2,-0.72
All touches,1.0,9.0,9.0,559,30,523,6,5.4,-0.438,-244.91,8.18,-1.0,-0.442,0.53,-277.2,-0.88
All touches,1.0,9.5,9.5,559,27,526,6,4.9,-0.468,-261.41,8.54,-1.0,-0.471,0.5,-295.2,-0.89
All touches,1.0,10.0,10.0,559,24,529,6,4.3,-0.503,-280.91,8.86,-1.0,-0.506,0.47,-317.2,-0.89
All touches,1.0,10.5,10.5,559,18,535,6,3.3,-0.604,-337.91,8.96,-1.0,-0.608,0.37,-358.7,-0.94
All touches,1.0,11.0,11.0,559,15,538,6,2.7,-0.653,-364.91,9.11,-1.0,-0.656,0.32,-387.2,-0.94
All touches,1.0,11.5,11.5,559,15,538,6,2.7,-0.639,-357.41,9.5,-1.0,-0.643,0.34,-381.2,-0.94
All touches,1.0,12.0,12.0,559,14,539,6,2.5,-0.649,-362.91,9.78,-1.0,-0.653,0.33,-388.2,-0.93
All touches,1.0,12.5,12.5,559,12,541,6,2.2,-0.685,-382.91,9.88,-1.0,-0.689,0.29,-409.7,-0.93
All touches,1.0,13.0,13.0,559,11,542,6,2.0,-0.699,-390.91,10.07,-1.0,-0.703,0.28,-419.2,-0.93
All touches,1.0,13.5,13.5,559,11,542,6,2.0,-0.689,-385.41,10.44,-1.0,-0.693,0.29,-415.2,-0.93
All touches,1.0,14.0,14.0,559,9,542,8,1.6,-0.718,-401.18,9.39,-1.0,-0.721,0.26,-432.47,-0.93
All touches,1.0,14.5,14.5,559,9,542,8,1.6,-0.71,-396.68,9.69,-1.0,-0.713,0.27,-429.47,-0.92
All touches,1.0,15.0,15.0,559,9,542,8,1.6,-0.702,-392.18,9.99,-1.0,-0.705,0.28,-426.47,-0.92
All touches,1.25,1.5,1.2,559,220,331,2,39.9,-0.353,-197.09,1.51,-1.6,-0.358,0.63,-211.84,-0.93
All touches,1.25,2.0,1.6,559,175,382,2,31.4,-0.228,-127.5,2.0,-1.25,-0.233,0.73,-149.25,-0.85
All touches,1.25,2.5,2.0,559,150,407,2,26.9,-0.239,-133.75,2.5,-1.25,-0.244,0.74,-162.5,-0.82
All touches,1.25,3.0,2.4,559,129,428,2,23.2,-0.265,-148.0,3.0,-1.25,-0.269,0.72,-183.5,-0.81
All touches,1.25,3.5,2.8,559,121,436,2,21.7,-0.217,-121.5,3.5,-1.25,-0.222,0.78,-176.25,-0.69
All touches,1.25,4.0,3.2,559,112,445,2,20.1,-0.194,-108.25,4.0,-1.25,-0.198,0.81,-166.75,-0.65
All touches,1.25,4.5,3.6,559,101,455,3,18.2,-0.201,-112.52,4.47,-1.25,-0.206,0.8,-186.75,-0.6
All touches,1.25,5.0,4.0,559,92,464,3,16.5,-0.212,-118.27,4.96,-1.25,-0.216,0.8,-193.75,-0.61
All touches,1.25,5.5,4.4,559,84,471,4,15.1,-0.219,-122.46,5.42,-1.25,-0.224,0.79,-180.46,-0.68
All touches,1.25,6.0,4.8,559,74,481,4,13.3,-0.274,-152.96,5.9,-1.25,-0.278,0.75,-210.46,-0.73
All touches,1.25,6.5,5.2,559,62,493,4,11.2,-0.374,-208.96,6.36,-1.25,-0.378,0.66,-238.46,-0.88
All touches,1.25,7.0,5.6,559,56,498,5,10.1,-0.401,-224.41,6.75,-1.25,-0.406,0.64,-251.41,-0.89
All touches,1.25,7.5,6.0,559,55,498,6,9.9,-0.361,-201.91,7.13,-1.25,-0.366,0.68,-241.91,-0.83
All touches,1.25,8.0,6.4,559,49,504,6,8.9,-0.411,-229.91,7.55,-1.25,-0.416,0.64,-273.66,-0.84
All touches,1.25,8.5,6.8,559,42,511,6,7.6,-0.49,-273.66,7.94,-1.25,-0.494,0.57,-329.91,-0.83
All touches,1.25,9.0,7.2,559,32,521,6,5.8,-0.635,-355.16,8.22,-1.25,-0.64,0.45,-382.66,-0.93
All touches,1.25,9.5,7.6,559,28,525,6,5.1,-0.684,-382.16,8.57,-1.25,-0.688,0.42,-412.16,-0.93
All touches,1.25,10.0,8.0,559,25,528,6,4.5,-0.719,-401.91,8.9,-1.25,-0.723,0.39,-434.41,-0.93
All touches,1.25,10.5,8.4,559,19,534,6,3.4,-0.823,-459.91,9.03,-1.25,-0.827,0.31,-477.66,-0.96
All touches,1.25,11.0,8.8,559,16,537,6,2.9,-0.871,-487.16,9.2,-1.25,-0.876,0.27,-506.41,-0.96
All touches,1.25,11.5,9.2,559,16,537,6,2.9,-0.857,-479.16,9.6,-1.25,-0.862,0.29,-499.91,-0.96
All touches,1.25,12.0,9.6,559,15,538,6,2.7,-0.867,-484.41,9.9,-1.25,-0.871,0.28,-506.66,-0.96
