SL %,Target %,Trades,Win Rate %,Avg Win %,Avg Loss %,Expectancy %,Profit Factor,Total PnL %,Max Drawdown %,Calmar (Tot/|DD|)
2.0,11.5,231,10.0,9.18,-1.98,-0.865,0.52,-195.81,-249.31,-0.79
2.0,12.0,231,10.0,9.55,-1.98,-0.828,0.54,-187.31,-243.31,-0.77
2.5,3.0,231,40.3,2.97,-2.49,-0.292,0.82,-62.43,-143.5,-0.44
2.5,3.5,231,39.8,3.46,-2.49,-0.119,0.93,-22.43,-139.5,-0.16
2.5,4.0,231,38.5,3.96,-2.49,-0.006,1.01,3.57,-135.5,0.03
2.5,4.5,231,35.5,4.41,-2.49,-0.04,0.99,-4.2,-134.5,-0.03
2.5,5.0,231,33.8,4.89,-2.49,0.004,1.02,5.8,-137.5,0.04
2.5,5.5,231,29.4,5.32,-2.49,-0.191,0.9,-39.14,-170.0,-0.23
2.5,6.0,231,27.3,5.78,-2.49,-0.234,0.88,-49.14,-194.0,-0.25
2.5,6.5,231,25.1,6.24,-2.49,-0.299,0.85,-64.14,-204.0,-0.31
2.5,7.0,231,23.4,6.6,-2.49,-0.367,0.82,-79.84,-216.0,-0.37
2.5,7.5,231,23.4,6.96,-2.49,-0.283,0.86,-60.34,-210.0,-0.29
2.5,8.0,231,22.5,7.39,-2.49,-0.268,0.87,-56.84,-214.5,-0.26
2.5,8.5,231,20.8,7.78,-2.47,-0.341,0.83,-73.84,-220.0,-0.34
2.5,9.0,231,18.2,8.12,-2.45,-0.527,0.74,-116.88,-261.04,-0.45
2.5,9.5,231,17.3,8.52,-2.45,-0.551,0.74,-122.38,-256.54,-0.48
2.5,10.0,231,16.0,8.87,-2.45,-0.638,0.7,-142.38,-277.04,-0.51
2.5,10.5,231,13.9,8.82,-2.45,-0.89,0.58,-200.77,-291.54,-0.69
2.5,11.0,231,12.6,9.01,-2.45,-1.014,0.53,-229.27,-312.54,-0.73
2.5,11.5,231,12.6,9.37,-2.45,-0.968,0.55,-218.77,-307.04,-0.71
2.5,12.0,231,12.6,9.73,-2.45,-0.923,0.58,-208.27,-303.04,-0.69
3.0,3.5,231,45.5,3.47,-2.97,-0.046,0.99,-4.58,-140.0,-0.03
3.0,4.0,231,43.3,3.96,-2.97,0.028,1.03,12.42,-136.0,0.09
3.0,4.5,231,40.3,4.42,-2.98,0.003,1.02,6.65,-133.5,0.05
3.0,5.0,231,38.1,4.91,-2.98,0.027,1.03,12.15,-145.0,0.08
3.0,5.5,231,33.3,5.34,-2.98,-0.205,0.91,-41.29,-200.5,-0.21
3.0,6.0,231,29.9,5.8,-2.98,-0.356,0.84,-76.29,-252.0,-0.3
3.0,6.5,231,27.7,6.26,-2.98,-0.419,0.82,-90.79,-263.0,-0.35
3.0,7.0,231,26.0,6.64,-2.98,-0.482,0.79,-105.49,-276.0,-0.38
3.0,7.5,231,25.5,7.0,-2.98,-0.431,0.82,-93.49,-270.0,-0.35
3.0,8.0,231,24.2,7.43,-2.98,-0.456,0.81,-99.49,-275.0,-0.36
3.0,8.5,231,21.6,7.81,-2.93,-0.605,0.74,-133.9,-281.0,-0.48
3.0,9.0,231,18.6,8.14,-2.9,-0.847,0.65,-189.94,-324.45,-0.59
3.0,9.5,231,17.7,8.47,-2.9,-0.886,0.64,-198.85,-319.95,-0.62
3.0,10.0,231,16.5,8.81,-2.91,-0.979,0.6,-220.35,-341.45,-0.65
3.0,10.5,231,14.3,8.75,-2.91,-1.243,0.51,-281.24,-361.95,-0.78
3.0,11.0,231,13.0,8.93,-2.91,-1.373,0.46,-311.24,-396.45,-0.79
3.0,11.5,231,13.0,9.28,-2.91,-1.327,0.48,-300.74,-390.45,-0.77
3.0,12.0,231,13.0,9.63,-2.91,-1.282,0.5,-290.24,-384.45,-0.75
3.5,4.0,231,48.9,3.97,-3.46,0.171,1.12,46.42,-141.5,0.33
3.5,4.5,231,43.3,4.43,-3.47,-0.049,0.99,-4.35,-160.0,-0.03
3.5,5.0,231,41.1,4.91,-3.47,-0.021,1.0,2.15,-165.0,0.01
3.5,5.5,231,36.4,5.36,-3.47,-0.261,0.89,-53.29,-201.0,-0.27
3.5,6.0,231,32.5,5.82,-3.47,-0.456,0.82,-98.29,-262.5,-0.37
3.5,6.5,231,30.3,6.28,-3.47,-0.516,0.8,-112.29,-272.0,-0.41
3.5,7.0,231,28.6,6.67,-3.47,-0.57,0.78,-124.78,-283.5,-0.44
3.5,7.5,231,28.1,7.05,-3.47,-0.507,0.81,-110.28,-275.0,-0.4
3.5,8.0,231,26.8,7.49,-3.47,-0.527,0.8,-114.78,-278.0,-0.41
3.5,8.5,231,24.2,7.89,-3.4,-0.667,0.75,-147.19,-282.0,-0.52
3.5,9.0,231,21.2,8.25,-3.37,-0.907,0.67,-202.73,-327.74,-0.62
3.5,9.5,231,20.3,8.6,-3.37,-0.937,0.66,-209.64,-320.74,-0.65
3.5,10.0,231,18.6,8.95,-3.38,-1.082,0.61,-243.14,-354.24,-0.69
3.5,10.5,231,16.5,8.98,-3.38,-1.345,0.53,-304.03,-377.53,-0.81
3.5,11.0,231,15.2,9.22,-3.38,-1.471,0.49,-333.03,-410.24,-0.81
3.5,11.5,231,15.2,9.6,-3.38,-1.415,0.51,-320.03,-401.74,-0.8
3.5,12.0,231,15.2,9.97,-3.38,-1.358,0.53,-307.03,-393.24,-0.78
4.0,4.5,231,45.5,4.43,-3.95,-0.14,0.95,-24.43,-188.0,-0.13
4.0,5.0,231,43.3,4.92,-3.95,-0.112,0.96,-17.93,-195.0,-0.09
4.0,5.5,231,38.5,5.36,-3.96,-0.365,0.86,-76.37,-224.0,-0.34
4.0,6.0,231,34.6,5.83,-3.96,-0.568,0.79,-123.37,-288.0,-0.43
4.0,6.5,231,32.5,6.3,-3.96,-0.629,0.77,-137.37,-297.0,-0.46
4.0,7.0,231,30.7,6.69,-3.95,-0.679,0.76,-148.86,-308.0,-0.48
4.0,7.5,231,30.3,7.08,-3.95,-0.607,0.79,-132.36,-298.0,-0.44
4.0,8.0,231,29.0,7.52,-3.95,-0.622,0.79,-135.86,-300.0,-0.45
4.0,8.5,231,25.5,7.81,-3.88,-0.891,0.7,-198.16,-331.2,-0.6
4.0,9.0,231,22.5,8.15,-3.84,-1.14,0.62,-255.7,-378.74,-0.68
4.0,9.5,231,21.6,8.49,-3.84,-1.172,0.62,-263.11,-371.24,-0.71
4.0,10.0,231,19.9,8.81,-3.84,-1.324,0.58,-298.11,-405.74,-0.73
4.0,10.5,231,18.2,8.88,-3.85,-1.533,0.52,-346.5,-430.74,-0.8
4.0,11.0,231,16.9,9.11,-3.85,-1.661,0.49,-376.0,-464.74,-0.81
4.0,11.5,231,16.9,9.47,-3.85,-1.6,0.51,-362.0,-455.24,-0.8
4.0,12.0,231,16.9,9.83,-3.85,-1.54,0.52,-348.0,-445.74,-0.78
4.5,5.0,231,44.2,4.92,-4.43,-0.301,0.89,-60.78,-225.0,-0.27
4.5,5.5,231,39.4,5.37,-4.44,-0.574,0.8,-123.72,-264.0,-0.47
4.5,6.0,231,35.9,5.84,-4.44,-0.747,0.75,-163.72,-331.5,-0.49
4.5,6.5,231,33.8,6.31,-4.44,-0.812,0.73,-178.72,-341.0,-0.52
4.5,7.0,231,32.0,6.7,-4.43,-0.862,0.72,-190.21,-352.5,-0.54
4.5,7.5,231,31.6,7.1,-4.43,-0.786,0.75,-172.71,-342.0,-0.5
4.5,8.0,231,30.3,7.54,-4.43,-0.801,0.75,-176.21,-344.0,-0.51
4.5,8.5,231,26.8,7.84,-4.34,-1.072,0.67,-239.01,-380.2,-0.63
4.5,9.0,231,23.8,8.2,-4.3,-1.325,0.6,-297.55,-428.74,-0.69
4.5,9.5,231,22.9,8.54,-4.3,-1.355,0.6,-304.46,-420.74,-0.72
4.5,10.0,231,21.2,8.88,-4.31,-1.509,0.56,-339.96,-456.24,-0.75
4.5,10.5,231,19.9,9.02,-4.31,-1.656,0.53,-373.85,-464.74,-0.8
4.5,11.0,231,19.5,9.37,-4.31,-1.647,0.53,-371.85,-474.24,-0.78
4.5,11.5,231,19.5,9.74,-4.31,-1.573,0.55,-354.85,-468.74,-0.76
4.5,12.0,231,18.6,10.03,-4.31,-1.643,0.54,-370.85,-463.24,-0.8
5.0,5.5,231,41.6,5.37,-4.9,-0.63,0.79,-135.84,-287.0,-0.47
5.0,6.0,231,38.1,5.84,-4.91,-0.81,0.74,-177.34,-362.0,-0.49
5.0,6.5,231,35.9,6.32,-4.9,-0.868,0.73,-190.68,-367.0,-0.52
5.0,7.0,231,34.2,6.72,-4.88,-0.913,0.73,-201.17,-361.0,-0.56
5.0,7.5,231,33.3,7.12,-4.88,-0.883,0.74,-194.17,-355.0,-0.55
5.0,8.0,231,32.0,7.57,-4.89,-0.896,0.74,-197.17,-355.0,-0.56
5.0,8.5,231,28.6,7.88,-4.79,-1.167,0.67,-259.97,-387.7,-0.67
5.0,9.0,231,25.5,8.25,-4.74,-1.422,0.6,-319.01,-435.74,-0.73
5.0,9.5,231,24.7,8.61,-4.74,-1.448,0.6,-324.92,-425.74,-0.76
5.0,10.0,231,22.9,8.97,-4.75,-1.601,0.57,-360.42,-460.74,-0.78
5.0,10.5,231,21.6,9.14,-4.75,-1.746,0.54,-393.81,-470.74,-0.84
5.0,11.0,231,21.2,9.5,-4.75,-1.731,0.54,-390.31,-480.74,-0.81
5.0,11.5,231,21.2,9.89,-4.75,-1.649,0.57,-371.31,-478.24,-0.78
5.0,12.0,231,20.3,10.2,-4.76,-1.714,0.55,-386.31,-476.74,-0.81
5.5,6.0,231,38.5,5.85,-5.37,-1.047,0.69,-231.21,-406.0,-0.57
5.5,6.5,231,36.4,6.32,-5.36,-1.112,0.68,-246.05,-411.5,-0.6
5.5,7.0,231,34.6,6.73,-5.34,-1.161,0.68,-257.54,-405.5,-0.64
5.5,7.5,231,33.8,7.12,-5.34,-1.133,0.69,-251.04,-401.0,-0.63
5.5,8.0,231,32.5,7.58,-5.35,-1.15,0.69,-255.04,-402.0,-0.63
5.5,8.5,231,29.0,7.89,-5.24,-1.428,0.62,-319.34,-447.86,-0.71
5.5,9.0,231,26.0,8.26,-5.18,-1.692,0.57,-380.38,-496.74,-0.77
5.5,9.5,231,25.1,8.63,-5.19,-1.719,0.56,-386.79,-486.74,-0.79
5.5,10.0,231,23.8,9.01,-5.19,-1.812,0.55,-408.29,-507.74,-0.8
5.5,10.5,231,22.5,9.19,-5.2,-1.959,0.52,-442.18,-518.7,-0.85
5.5,11.0,231,22.1,9.56,-5.2,-1.942,0.53,-438.18,-523.7,-0.84
5.5,11.5,231,22.1,9.95,-5.2,-1.855,0.55,-418.18,-514.74,-0.81
5.5,12.0,231,21.2,10.27,-5.2,-1.92,0.54,-433.18,-521.24,-0.83
6.0,6.5,231,36.8,6.32,-5.83,-1.36,0.64,-302.55,-456.0,-0.66
6.0,7.0,231,35.1,6.73,-5.81,-1.414,0.63,-315.04,-456.0,-0.69
6.0,7.5,231,34.2,7.13,-5.81,-1.388,0.65,-309.04,-454.5,-0.68
6.0,8.0,231,32.9,7.58,-5.82,-1.41,0.65,-314.04,-456.0,-0.69
6.0,8.5,231,29.4,7.9,-5.7,-1.694,0.59,-379.84,-511.86,-0.74
6.0,9.0,231,26.8,8.29,-5.64,-1.901,0.55,-427.88,-544.9,-0.79
6.0,9.5,231,26.0,8.66,-5.64,-1.929,0.54,-434.29,-534.31,-0.81
6.0,10.0,231,24.7,9.04,-5.65,-2.024,0.53,-456.29,-553.74,-0.82
6.0,10.5,231,23.4,9.24,-5.66,-2.173,0.5,-490.68,-567.2,-0.87
6.0,11.0,231,22.9,9.61,-5.66,-2.154,0.51,-486.18,-574.2,-0.85
6.0,11.5,231,22.9,10.01,-5.66,-2.063,0.53,-465.18,-564.7,-0.82
6.0,12.0,231,22.1,10.34,-5.66,-2.128,0.52,-480.18,-567.2,-0.85
