Symbol,Side,Method,Preset,Sample,target_pct,R_mult,atr_mult,atr_pct_med,avg_price,listing_age_y,n_trades,n_target,n_sl,n_open,win_rate,mean_pnl,median_pnl,total_pnl,expectancy,max_dd,avg_win,avg_loss,profit_factor
JBMA,SELL,ATR,Normal,ALL,5.0,2.0,2.0,4.837699953411315,827.6574879227054,5.88911704312115,32,13,19,0,0.40625,0.25686525068212473,-2.9249240156300287,8.219688021827992,0.2568652506821243,60.66378056855637,11.592898031497233,-7.499367704612424,1.057686884559281
JBMA,BUY,target_pct,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,19,8,0,0.7037037037037037,4.00403715000691,8.0,108.10900305018659,4.00403715000691,16.868419085672713,8.0,-5.486374618726677,3.4631247992339387
JBMA,BUY,target_pct,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,0,0,0,0,,,,0.0,,,,,
JBMA,BUY,target_pct,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,19,8,0,0.7037037037037037,4.00403715000691,8.0,108.10900305018659,4.00403715000691,16.868419085672713,8.0,-5.486374618726677,3.4631247992339387
JBMA,SELL,target_pct,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,24,11,13,0,0.4583333333333333,-0.2740158103453547,-1.2758106080140654,-6.576379448288513,-0.2740158103453547,60.66378056855637,8.0,-7.275106111406807,0.9304648847137963
JBMA,SELL,target_pct,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,8,6,2,0,0.75,4.243103543632889,8.0,33.944828349063116,4.243103543632889,14.055171650936884,8.0,-7.027585825468442,3.4151130410990342
JBMA,SELL,target_pct,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,32,17,15,0,0.53125,0.8552640281492064,8.0,27.368448900774606,0.855264028149207,60.66378056855637,8.0,-7.242103406615025,1.251938305435554
JBMA,BUY,R,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,14,13,0,0.5185185185185185,10.819439405418084,9.904829044765606,292.12486394628826,10.819439405418086,49.6124648037424,27.170117367556145,-6.788983015345977,4.309942495023101
JBMA,BUY,R,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,0,0,0,0,,,,0.0,,,,,
JBMA,BUY,R,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,14,13,0,0.5185185185185185,10.819439405418084,9.904829044765606,292.12486394628826,10.819439405418086,49.6124648037424,27.170117367556145,-6.788983015345977,4.309942495023101
JBMA,SELL,R,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,24,7,17,0,0.2916666666666667,-1.7084714480757572,-4.506609976206899,-41.003314753818174,-1.7084714480757563,122.41682967400313,15.997346405351314,-8.999102328898669,0.7319777458629866
JBMA,SELL,R,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,8,0,8,0,0.0,-19.607783809777146,-8.943203366784408,-156.86227047821717,-19.607783809777146,61.61556097787407,0.0,-19.607783809777146,0.0
JBMA,SELL,R,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,32,7,25,0,0.21875,-6.183299538501105,-5.724796493425176,-197.86558523203536,-6.183299538501103,250.29023329237586,15.997346405351314,-12.39388040277978,0.3614087636745092
JBMA,BUY,ATR,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,15,12,0,0.5555555555555556,5.579470069086642,11.807286237245396,150.64569186533933,5.579470069086643,24.88868285761609,15.336282881115718,-6.616545945949703,2.8973355218865695
JBMA,BUY,ATR,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,0,0,0,0,,,,0.0,,,,,
JBMA,BUY,ATR,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,27,15,12,0,0.5555555555555556,5.579470069086642,11.807286237245396,150.64569186533933,5.579470069086643,24.88868285761609,15.336282881115718,-6.616545945949703,2.8973355218865695
JBMA,SELL,ATR,Loose,IS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,24,10,14,0,0.4166666666666667,1.6100159493076518,-1.9906524400422825,38.64038278338364,1.6100159493076527,71.82778913794462,14.43807708010604,-7.552884858405482,1.365426905535131
JBMA,SELL,ATR,Loose,OOS,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,8,0,8,0,0.0,-19.607783809777146,-8.943203366784408,-156.86227047821717,-19.607783809777146,61.61556097787407,0.0,-19.607783809777146,0.0
JBMA,SELL,ATR,Loose,ALL,8.0,3.0,3.0,4.837699953411315,827.6574879227054,5.88911704312115,32,10,22,0,0.3125,-3.6944339904635477,-4.618928514736552,-118.22188769483353,-3.6944339904635477,217.3481704464809,14.43807708010604,-11.936484477086088,0.5498069655045703
JBMA,BUY,target_pct,Wide,IS,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,27,16,11,0,0.5925925925925926,4.417927953534653,12.0,119.28405474543563,4.417927953534651,28.754236955641076,12.0,-6.610540477687673,2.640411251312835
JBMA,BUY,target_pct,Wide,OOS,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,0,0,0,0,,,,0.0,,,,,
JBMA,BUY,target_pct,Wide,ALL,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,27,16,11,0,0.5925925925925926,4.417927953534653,12.0,119.28405474543563,4.417927953534651,28.754236955641076,12.0,-6.610540477687673,2.640411251312835
JBMA,SELL,target_pct,Wide,IS,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,24,11,13,0,0.4583333333333333,1.559317522987979,-1.2758106080140654,37.423620551711494,1.5593175229879788,60.663780568556376,12.0,-7.275106111406807,1.3956973270706943
JBMA,SELL,target_pct,Wide,OOS,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,8,4,4,0,0.5,2.8692564403204415,3.7294080801753835,22.95405152256353,2.8692564403204415,25.045948477436475,12.0,-6.261487119359117,1.9164776308328872
JBMA,SELL,target_pct,Wide,ALL,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,32,15,17,0,0.46875,1.886802252321094,-1.2758106080140654,60.37767207427501,1.8868022523210946,60.663780568556376,12.0,-7.036607525042646,1.5047358057750246
JBMA,BUY,R,Wide,IS,12.0,4.0,4.0,4.837699953411315,827.6574879227054,5.88911704312115,27,14,13,0,0.5185185185185185,15.51550907388458,13.206438726354142,418.91874499488364,15.515509073884576,49.6124648037424,36.226823156741524,-6.788983015345977,5.746589993364133
